Chart type / Framework;Adobe Flex built-in charts;Axiis;BirdEye;Flare;Flexmonster;IBM ILOG Elixir;Kap IT Labs;yFiles;amCharts;AnyChart;LiveGap Chart;
Cost;Free;Free;Free;Free;Non-free contact vendor for prices;Non-free £556 (for EULA), contact vendor for OEM;Free for non-commercial, €2'500 (VAT excluded) for full 1-developer package;Non-free contact vendor for prices;Free (with link to amCharts) link-free from €85};Free (with link to AnyChart) Team license available};Free;
License;MPL;MIT;MIT;BSD;Proprietary;Proprietary;Proprietary;Proprietary;Proprietary;Proprietary;Free;
Open source;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;
Bar/Column charts;Simple;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
Stacked;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;
Floating (Range);Yes;Yes;No;No;No;No;No;No;Yes;Yes;Yes;
Waterfall;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;
Layered;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;
Line charts;Simple;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
Spline (Curve);Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;
Step;Yes;No;No;No;No;Yes;No;No;Yes;Yes;Yes;
Pie charts;Simple;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
Doughnut (Ring);Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;
Exploded;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;
Stacked;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;
Area charts;Simple;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;
Spline (Curve);Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;
Stacked;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;
Floating (Range);No;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;
Histogram (Step);Yes;No;No;No;No;Yes;No;No;Yes;Yes;No;
Scatter plot charts;Simple;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;
Bubble;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;No;
Circular charts;Radar;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;
Polar;No;No;Yes;No;No;No;No;No;Yes;Yes;Yes;
Accumulation charts;Pyramid;No;No;No;No;No;No;No;No;No;Yes;No;
Funnel;No;No;No;No;No;No;No;No;No;Yes;No;
Tree/Heat map charts;Tree map;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;
Heat map;No;No;No;No;No;Yes;No;No;No;No;No;
Finance charts;OHLC;Yes;No;No;No;No;No;No;No;Yes;No;No;
Candlestick;Yes;No;No;No;No;No;No;No;Yes;No;No;
Kagi;No;No;No;No;No;No;No;No;No;No;No;
Gauge charts;No;No;No;No;No;Yes;No;No;No;Yes;No;
Cartogram charts;No;No;Yes;No;No;Yes;No;No;No;No;No;
Gantt charts;No;No;No;No;No;Yes;No;No;No;Yes;No;
Dependency graphs;No;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;
Nomograms;Smith chart;No;Yes;No;No;No;No;No;No;No;No;No;
Organizational charts;No;No;No;No;No;Yes;Yes;Yes;No;No;No;
Flow charts;No;No;No;No;No;Yes;Yes;Yes;No;No;No;
