Word;Afrikaans meaning;Dutch meaning;
aardig;pleasant, strange;friendly;
Afrikaans;Afrikaans language;African, also Afrikaans language;
aftrek(ken);distract;deduct, also "to jerk off", male masturbation;
amper;nearly;scarcely;
bliksem;lightning, also expletive meaning "bastard" (as noun) and "bloody" (as adjective). It can also mean to hit or an intention to hit someone to cause great bodily harm as in "Ek gaan jou bliksem" - "I am going to kill / hit you.";lightning;
die;the;that one, which, who;
dit;it;this, these;
doos;box, also expletive "cunt";box, case, also "daft woman";
een;one;a, an (indefinite article);
flikker;sparkle;queer, homo;
fok(ken);fuck, fucking;to breed, to rear;
het;have, has;the (neuter gender);
Holland;Netherlands;former province of Holland;
houtkop;racial slur for black African, literally "wooden head";"wooden head";
kopje;small hill;cup;
na;to;after;
Nederduits;Dutch (as in Dutch Reformed Church);Low German Dutch formerly used the term to refer to the Dutch language;
neuk(en);strike, hit;screw, hump, have sex with;
piel;expletive "dick", "penis";duckling;
poes;expletive "cunt" or "pussy" (noun) or "fucking" (adjective);pussycat, tabby (although poesje is used as a vulgar term for "vagina");
rand;edge, brink, rim;South African currency, reef;
vat;take;grab, seize;
voor;before;for, before (written as vóór in Dutch);
