Product;Highlight;Annotate;Metadata edit;Dictionary online;Dictionary offline;Wikipedia lookup;Translate;Share;Gesture command;TTS Support (read aloud);Support DRM;
Aldiko Book Reader;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;
AlReader;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;No;
Bookari;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;
Cool Reader;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;No;
EBookDroid;?;?;?;?;?;?;?;?;?;?;?;
Ebook Reader;Yes;Yes;No;No;No;No;No;Yes;Yes;No;Yes;
eReader Prestigio;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
FBReader;No;No;Yes;No;Yes;No;No;Yes;No;Plugin[19];No;
iReader;?;?;?;?;?;?;?;?;?;?;?;
Kindle;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;
Kobo Books;Yes;Yes;?;Yes;Yes;Yes;No;Yes;?;?;?;
Lektz eBook Reader;No;Yes;Yes;Yes;No;No;No;Yes;Yes;No;Yes;
Librera;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;
Moon+ reader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;
MReader;Yes;No;No;No;No;No;No;No;No;No;No;
PocketBook;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;Yes;Yes;
Snapplify;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;
Socio eReader;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;
Product;Highlight;Annotate;Metadata edit;Dictionary online;Dictionary offline;Wikipedia lookup;Translate;Share;Gesture command;TTS Support (read aloud);Support DRM;
