BitTorrent client;Known unpatched vulnerabilities;
Secunia;SecurityFocus;
Extremely critical (number / oldest);Highly critical (number / oldest);Moderately critical (number / oldest);Less critical (number / oldest);Not critical (number / oldest);Total (number / oldest);
BitComet;0;0;0;0;0;0;
BitLord;0;0;0;0;0;Unknown;
BitTornado;0;0;0;0;0;Unknown;
BitTorrent;0;0;0;0;0;0;
BitTorrent DNA;0;0;0;0;0;0;
BitTyrant;0;0;0;0;0;Unknown;
Deluge;0;0;0;0;0;0;
FlashGet;0;0;0;0;0;1 13 August 2008; 10 years ago (2008-08-13);
Free Download Manager;0;0;0;0;0;0;
FrostWire;0;0;0;0;0;Unknown;
KTorrent;0;0;0;0;0;0;
Libtorrent (Rasterbar);0;0;0;0;0;0;
LimeWire;0;0;0;0;0;0;
Miro;0;0;0;0;0;1 26 February 2008; 10 years ago (2008-02-26);
MLDonkey;0;0;0;0;1 5 November 2003; 15 years ago (2003-11-05);1 23 February 2009; 9 years ago (2009-02-23);
µTorrent for Mac;0;0;0;0;0;0;
µTorrent for Windows;0;0;0;0;0;0;
Opera 12;0;0;0;0;0;0;
Shareaza;0;0;0;0;0;0;
Tixati;0;0;0;0;0;Unknown;
Tomato Torrent;0;0;0;0;0;Unknown;
TorrentFlux;0;0;1 23 April 2008; 10 years ago (2008-04-23);0;0;2 18 April 2008; 10 years ago (2008-04-18);
Transmission;0;0;0;0;0;0;
Vuze (formerly Azureus);0;0;0;0;0;1 22 June 2006; 12 years ago (2006-06-22);
Xunlei;0;2 28 September 2007; 11 years ago (2007-09-28);0;0;0;1 17 November 2007; 11 years ago (2007-11-17);
BitTorrent client;Extremely critical (number / oldest);Highly critical (number / oldest);Moderately critical (number / oldest);Less critical (number / oldest);Not critical (number / oldest);Total (number / oldest);
Secunia;SecurityFocus;
Known unpatched vulnerabilities;
