Systems;Creator;Last Stable Version;Release Date;License;Implementation language(s);Server Operating System;Database backend;First Release Date;
Act! CRM;Pat Sullivan and Mike Muhney;20.1;March 2018;SaaS or Proprietary;C#, .NET;Windows, Web, iOS, Android;MS SQL;1987;
Adempiere;Jorg Janke;;;GPLv2;Java;Windows, Linux, Unix, Mac;;2006;
Base CRM;Base CRM;2016;2009;SaaS;Ruby on Rails, Python;Cloud Computing, iOS, Android, Windows Phone;MySQL;2009;
CiviCRM;Dave Greenberg, Donald Lobo, Michal Mach;4.7.17;2017 March 29;AGPLv3;PHP 5.3.x;Cross-platform;MySQL;2004;
Dolibarr;Rodolphe Quiedeville, Laurent Destailleur;7.0;2018;GPLv3 or SaaS;PHP 5.3.x;Cross-platform;MySQL or PostgreSQL;2003;
Dynamics CRM;Microsoft;2015;2014 October;Proprietary or SaaS;.NET, ASP.NET;Windows;MS SQL;2003;
Epesi CRM;Telaxus LLC;1.8.0;2016 September 26;MIT;PHP 5.x;Cross-platform;MySQL, PostgreSQL, AdoDB, others;2006;
GNU Enterprise;FSF;;;GPLv3;Python;Linux, Unix, Mac OS X, Windows;Firebird/Interbase, MySQL, MaxDB, MS ADO (MS SQL-Server/MS Access), Oracle, PostgreSQL, SQLite, SQLite3, CSV files,DBF files (DBase, XBase etc.), INI style configuration files;2003;
Group-Office;Intermesh BV;6.2.4;2016;AGPLv3, SaaS and proprietary;PHP/Javascript;Windows, Linux, Unix, Mac OS;MySQL;2003;
HubSpot CRM Free;HubSpot;N/A;N/A;SaaS[1];Java [2];Cloud computing;HBase;2014[3];
Neolane;Adobe;v6;2012;Proprietary or SaaS;C++, JavaScript;Windows, Linux;MS SQL, Oracle, PostgreSQL, MySQL;2001;
Nutshell CRM;Nutshell CRM;2017;2017;SaaS;PHP;Web, iOS, Android;MySQL;2010;
Pega CRM[4];Chordiant;?;?;Proprietary;?;Windows, Linux, Mac, web browser;?;?;
Pipedrive;Pipedrive;2018;2018;SaaS;Javascript, PHP;Web, iOS, Android;MySQL;2011;
Pivotal CRM;Aptean;v6.0.10;2012;Proprietary;.NET;Windows;MS SQL, Oracle;1996;
Really Simple Systems;Really Simple Systems;2016;2006;SaaS;VBScript, JavaScript, ASP;Cloud Computing;MySQL;2006;
SageCRM;Sage Group;v7.3;2014;Proprietary or SaaS;ASP.NET, ASP;Windows;MS SQL, ORACLE, DB2;1981;
Salesbox CRM;Salesbox CRM;2017;2017;SaaS;Angular, JS;Web, iOS, Android;PostgreSQL;2014;
Salesforce.com;Marc Benioff;;;Proprietary;APEX (Proprietary Language Java-like);Cloud Computing;Proprietary;1999;
Streak;Aleem Mawani, Omar Ismail;;;Proprietary;Java;Windows, Mac;Google App Engine;2012;
SugarCRM;John Roberts, Clint Oram, Jacob Taylor;8.0.0;2018;Proprietary or SaaS;PHP;Cross-platform;MySQL, Microsoft SQL Server, IBM DB2, and Oracle ( IBM DB2 and Oracle only in Sugar Enterprise edition );2004;
SuiteCRM;SalesAgility;7.8;2017;AGPLv3;PHP;Cross-platform;MariaDB, MySQL, Microsoft SQL Server;2013;
SuperOffice CRM;SuperOffice;7.5;2014;Proprietary;C++,C# and ASP.NET;Windows;SQL Server;1990;
TeamLab;Ascensio System SIA;;2011;GPLv3, SaaS;ASP.NET;Windows;Microsoft SQL Server, Amazon Server;2010;
TeamWox;MetaQuotes Software Corp.;2.0;2011 October;Proprietary or SaaS;C++;Windows;Firebird;2009;
Tryton;Tryton;4.0;2016 April;GPLv3;Python, JavaScript;Cross-platform;PostgreSQL, MySQL, SQLite;2008;
WORKetc;Daniel Barnett;v4.0;2013;SaaS;C#, .NET;Windows;Microsoft SQL Server, Amazon Server;2009;
Zoho CRM;Zoho CRM;2016;2005;SaaS;Java;Cloud Computing, Cross Platform;Proprietary;1999;
