Editor;Version;Year;Creator;Software license;
Amaya (Discontinued);11.4.4 (January 18);2012;W3C, INRIA;W3C;
Aptana Studio;3.6.0 (August 1);2014;Aptana;GPL;
Arachnophilia;5.5, build 2935 (March 9);2018;Paul Lutus [1];LGPL;
Atom;1.32.2 (October 6);2018;GitHub;MIT License;
Bluefish;2.2.10 (January 27);2017;Bluefish;GPL;
BlueGriffon;3.0.1 (November 22);2017;Disruptive Innovations;MPL 1.1/GPL 2.0/LGPL 2.1;
Brackets;1.13 (June 18);2018;Adobe;MIT License;
Claris Homepage (Discontinued);3.0;1998;Claris;Proprietary;
Coda;2;2012;Panic, Inc.;Proprietary;
Codelobster;5.10.1 (August 22);2016;Codelobster Software;Proprietary;
CoffeeCup HTML Editor;15.1 (July 10);2015;CoffeeCup Software;Proprietary;
CudaText;1.57.0 (June 25);2018;UVViewSoft (alexey_t, kvichans, matthias030);MPL 2.0;
Contribute;CS6.5 (8)(August 23);2012;Adobe Systems (formerly Macromedia);Proprietary;
Dreamweaver;CC 2018 (18.2) (May 1);2018;Adobe Systems (formerly Macromedia);Proprietary;
EZGenerator;4.1 (December);2012;Image-Line;Proprietary;
Freeway;5.4.2 (November);2009;Softpress;Proprietary;
GoLive (Discontinued);9.0 (June 1);2007;Adobe Systems (formerly GoLive Systems);Proprietary;
Google Web Designer;(July);2018;Google, Inc.;Proprietary;
HTML-Kit;292;;Chami.com;Proprietary;
KompoZer (Discontinued);0.7.10/0.8b3 (August 30, 2007/ March 1, 2010);2010;Kaze;MPL 1.1/GPL 2.0/LGPL 2.1;
LibreOffice;6.1.2 (September 27);2018;The Document Foundation;Mozilla Public License/Apache License 2.0/others;
Maqetta;Preview 5 (March 28);2013;IBM;BSD or AFL;
Microsoft Expression Web (Discontinued);4.0.1460.0 (December 20);2012;Microsoft;Proprietary;
Microsoft Office FrontPage (Discontinued);11.0.8174 (October 21);2003;Microsoft;Proprietary;
Microsoft FrontPage Express (Discontinued);2.0;1997;Microsoft;Proprietary;
Web Architect;6.9.1 (July 25);2012;mirabyte;Proprietary;
Microsoft SharePoint Designer (Discontinued);2007 (December 4);2006;Microsoft;Proprietary;
Microsoft Visual Studio Code;1.28.1 (October 11);2018;Microsoft;MIT License;
Microsoft Visual Web Developer;;2008;Microsoft;Proprietary;
Mobirise;4.8;2018;Mobirise.com;Proprietary;
Mozilla Composer (Discontinued);1.7.13 (April 21);2006;Mozilla Foundation;MPL 1.1/GPL 2.0/LGPL 2.1;
Nvu (Discontinued);1.0 (June 28);2005;Linspire / Daniel Glazman;MPL 1.1/GPL 2.0/LGPL 2.1;
openElement;1.44 (January 21);2014;openElement;Apache License 2.0;
OpenOffice.org;4.1.5 (October 19);2017;Apache Foundation;Mozilla Public License/Apache License 2.0/others;
oXygenXML Editor[2];17.1 (October);2015;Syncro Soft;Proprietary (some components Apache License 2.0);
Quanta Plus (Discontinued);3.5.9 (February 20);2008;The Quanta Team;GPL;
Rapidweaver;7.1;2016;Realmac Software;Proprietary;
RocketCake;1.4;2017;Ambiera;Proprietary;
SeaMonkey Composer;2.49.1 (November 4);2017;SeaMonkey Council;MPL;
TextMate;2.0 Preview (August 12);2012;Macromates;GPL;
TOWeb;5.07 (July 28);2013;Lauyan Software;Proprietary;
WebStorm IDE;7.0 (September 26);2013;JetBrains;Proprietary;
Editor;Version;Year;Creator;Software license;
