S No.;Name;Operator;Manufacturer;Max range;Missile mass;Warhead/payload;Status;First flight;MIRV;Mobility;Accuracy (CEP);
1;RS-28 Sarmat;Russia;State Rocket Center Makeyev;10,000 km;220 tonnes [1];10,000 kg [2];Under development;2018 (planned);Yes;Silo;16;
2;BZhRK Barguzin;Russia;Votkinsk;12,600 km;45-50 tonnes;N/A;Under development;N/A;Yes;Railroad;N/A;
3;R-36M2 Voevoda[Note 1];USSR;Yuzhny Machine-Building Plant;11,000 km (or 16,000 km with a single warhead)[3];211,400 kg[3];10 x 800 kt / 8730 kg[3];Active;1986;Yes;Silo;220 m;
4;UR-100N UTTKh;USSR;Khrunichev Machine-Building Plant;10,000 km;105,600 kg;6 x 550 kt / 4350 kg;Active;1977[4];Yes;Silo;N/A;
5;RT-2PM Topol;USSR;Votkinsk Machine Building Plant;10,500 km;45,100 kg;800 kt;Active;1985;No;Road-mobile TEL;200 m;
6;RT-2PM2 Topol-M;Russia;Votkinsk Machine Building Plant;11,000 km;47,200 kg;800 kt;Active;1994;Yes;Silo, road-mobile TEL;200 m;
7;RS-24;Russia;Votkinsk Machine Building Plant;12,000 km;49,000 kg;4 x 300 kt;Active;2007;Yes;Silo, road-mobile TEL;150 m;
8;R-29R;Russia;State Rocket Center Makeyev;6,500 km;35,300 kg;1650 kg;Active;N/A;N/A;Delta III Submarine;N/A;
9;R-29RK;Russia;State Rocket Center Makayev;6,500 km;34,388 kg;1650 kg;Active;N/A;Yes;Delta III Submarine;N/A;
10;R-29RL;Russia;State Rocket Center Makeyev;9,000 km;35,300 kg;1650 kg;Active;N/A;Yes;Delta III Submarine;N/A;
11;R-29RM;Russia;Krasnoyarsk Machine-Building Plant;8,300 km;40,300 kg;2800 kg;Active;N/A;Yes;Delta IV Submarine;N/A;
12;R-29RMU Sineva;Russia;Krasnoyarsk Machine-Building Plant;11,547 km;40,300 kg;N/A;Active;2004;Yes (6);Delta IV Submarine;N/A;
13;R-29RMU2 Layner;Russia;Krasnoyarsk Machine-Building Plant;11,000 km+;40,000 kg;N/A;Active;2011;Yes (12);Delta IV Submarine;N/A;
14;RSM-56 Bulava;Russia;Votkinsk Plant State Production Association;10,000 km;36,800 kg;6 x 150 kt;Active;2005;Yes;Borei class submarine;200 m;
15;R-7 Semyorka[Note 2];USSR;Soviet Academy of Sciences;12,000 km;280,000 kg;2.9 Mt of TNT;Inactive;1959;No;Launch pad;5,000 m;
16;R-16;USSR;Khartron;11,000 km;141,000 kg;5 Mt;Inactive;1961;No;Silo;2,700 m;
17;R-9 Desna;USSR;NPO Energomash Khartron;11,000 km;N/A;2.3 Mt;Inactive;1961;No;Silo;2,000 m;
18;UR-100;USSR;Khrunichev Machine-Building Plant;10,600 km;41,400 kg;1 Mt;Inactive;1966;No;Silo;N/A;
19;RT-2;USSR;;8,000 km;34,000 kg;600 kt;Inactive;1968;No;Silo;;
20;MR-UR-100 Sotka;USSR;Yuzhny Machine-Building Plant;10,250 km;71,200 kg;4×0.4 Mt;Inactive;1971;Yes;Silo;;
21;RT-23 Molodets;USSR;Yuzhnoye Design Bureau;10,450 km;104,500 kg;10 x 550 kT;Inactive;1986;Yes (10);Silo, Railroad;150–250 m;
22;R-29;USSR;State Rocket Center Makayev;7,700 km;;;Inactive;1969;No;Delta I submarine;;
23;R-39 Rif;USSR;Zlatoust Machine-Building Plant;8,300 km;84,000 kg;10 x 100–200 kT;Inactive;1983;Yes;Typhoon class submarine;N/A;
24;Minuteman III;US;Boeing;13,000 km;35,300 kg;3 x 300 kt of TNT;Active;1970;Yes;Silo;200 m;
