Library Name;Supported Chart Types;Supported Bar Chart Types;Other Features;Interactivity;Rendering Technologies;Databinding;;;
License;Free;Line;Timeline;Scatter;Area;Pie;Donut;Bullet;Radar;Funnel;Gantt;Network;Grouped;Stacked;Negative;Discrete;Horizontal;3D;Legends;Mouse Over;onClick;HTML5 Canvas;SVG;VML;AxisXY;
amCharts;Proprietary;Free with a link [1] or commercial[2];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes[3];Yes;;
AnyChart;Proprietary;Free for education and non-profit use.[4] Paid for commercial applications.[5];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
ApexCharts;MIT[6];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;No;;
C3.js;MIT[7];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;No;Yes;
CanvasJS;Proprietary[8];No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes[9];No;No;Yes;
canvasXpress;GPLv3, name/email required for source link[10];Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;;Yes;Yes;Yes;Yes[11];No;Yes[12];;
Chartist;WTFPL[13] or MIT[14];Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;;No;Yes;Yes;No;Yes;No;;
Chart.js;MIT[15];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;No;No;
Chart Builder By Livegap;Free;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;;Yes;Yes;Yes;Yes;No[16];No;;
Charts 4 PHP;Proprietary;Free basic edition[17];No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;Yes;;Yes;Yes;Yes;Yes;No;No;;;
