Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
Alpine Linux;Alpine Linux Team;Alpine Linux Team;2006;3.8.0;?;2018-06-26[2];X;–;security, lightweight, general;Gratis;Active;
ALT Linux;ALT Linux Team;ALT Linux Team, ALT Linux LLC;2001;8.2;?;2013-07-10[3];X;Mandrake Linux;general, school;Gratis;Active;
Antergos;Alexandre Filgueira;Antergos Project;2012;Rolling;Rolling;Rolling;X;Arch Linux;general;Gratis;Active;
antiX;Anticapitalista;Anticapitalista;2007;17;?;2017-08-24[4];X;Debian, MEPIS;old computers;Some editions are gratis;Active;
ArchBang;Willensky Aristide;Stan McLaren;2010;Rolling;Rolling;?;X;Arch Linux;general;Gratis;Active;
Arch Linux;Judd Vinet;dev team;2002;Rolling;Rolling;Rolling;X;–;general;Gratis;Active;
BLAG;Brixton Linux Action Group;Brixton Linux Action Group;2002;140k;?;2011-05-04;100% Free: GNU FSDG;Fedora;desktop;Gratis;Inactive;
Bodhi Linux;Bodhi Linux Team;Bodhi Linux Team;2011;4.5.0[5];?;2018-02-24;X;Debian, Ubuntu;desktop;Gratis;Active;
Canaima;CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community;CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community;2007;5.0;?;2016-12-19;X;Debian, Ubuntu;Government of Venezuela;Gratis;Active;
CentOS;CentOS Project;CentOS Project;2003;7.5-1804;10 years;2018-05-10;X;Red Hat Enterprise Linux (RHEL);server, workstation;Gratis;Active;
Chakra;Jan Mette and Arch Linux KDEmod developers;The Chakra Project Team;2010;Rolling;Rolling;?;X;Arch Linux[6];desktop;Gratis;Active;
Chromium OS;Google;?;2009;Rolling;Rolling;Rolling;X;Chrome OS;web applications;Gratis;Active;
ClearOS;Peter Baldwin;ClearFoundation;2000;7.3.0;?;2017-03-04;X;RHEL, CentOS;server, gateway, network;Some editions are gratis;Active;
CrunchBang Linux;Philip Newborough;Philip Newborough;2008;11;?;2013-05-06[7];X;Debian;desktop;Gratis;Inactive;
Damn Small Linux;John Andrews;dev team;2003;4.4.10;?;2008-11-18[8];X;Debian, Knoppix;lightweight, portable;Gratis;Active;
Debian;Ian Murdock;Debian Project;1993;9.5;~3 years[g 1];2018-07-14;Debian Social Contract and DFSG (main is 100% free, non-free packages are optional)[9];–;general, server, desktop;Gratis;Active;
Debian Edu;;Debian Project;2004;8.0+edu0;~3 years[g 1];2016-07-03[10];Debian Social Contract and DFSG;–;schools;Gratis;Active;
