Distribution;Default Linux kernel;Default file system;Default init system;Install-time desktop environment or window manager selection;
Alpine Linux;Binary blobs;ext4;openrc;none;
ALT Linux;Binary blobs;ext3;systemd;KDE Plasma Workspaces, Xfce;
Arch Linux;Binary blobs[45];none[46];systemd;none;
BLAG;Linux-libre;ext3;sysvinit;GNOME;
Bodhi Linux;Binary blobs;ext4;systemd;Moksha (Enlightenment fork);
Canaima;Binary blobs[45];?;?;Cinnamon and MATE;
CentOS;Binary blobs[45];xfs;systemd;GNOME;
Chakra;Binary blobs;ext4;systemd;KDE Plasma Workspaces;
ClearOS;Binary blobs;ext3;?;none (Web based);
CoreOS;Binary blobs;ext4;systemd;None;
CrunchBang Linux;Binary blobs;ext4;sysvinit;Openbox;
Damn Small Linux;Binary blobs;ext3;sysvinit;JWM;
Debian;By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally.[45] Built with Linux-libre tools.[47];ext4;systemd;GNOME, KDE, Xfce, LXDE[48];
Devuan;?;ext4;sysvinit;Xfce;
Dragora GNU/Linux-Libre;Linux-libre;ext4;runit;Xfce;
dyne:bolic;Linux-libre;?;?;GNOME;
Fedora;Binary blobs;ext4;systemd;GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon, Sugar on a Stick;
Funtoo;Binary blobs;none;openrc;None;
Gentoo;Binary blobs;none;openrc;Awesome, Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)[49];
gNewSense;Debian Linux kernel, and (unlike Debian) blobs cannot be installed[47];ext3;sysvinit;GNOME;
gnuLinEx;Binary blobs;ext2;?;GNOME;
GuixSD;Linux-libre;btrfs, ext4;GNU Shepherd;GNOME, Xfce, Mate, Enlightenment, i3, ratpoison, xmonad;
Hyperbola GNU/Linux-libre;Linux-libre;none;openrc[50];none;
Instant WebKiosk;Binary blobs;SquashFS;?;Has no DE. It's a browser-only interface;
Kali Linux;Binary blobs;ext3;systemd;GNOME;
Knoppix;Binary blobs;xfs;microknoppix;LXDE;
LibreCMC[51];Binary blobs;ext4;busybox-init;none;
Linux Mint[52];Binary blobs[45];ext4;systemd;MATE, Cinnamon, KDE 4, XFCE;
Mageia;Binary blobs;ext4;systemd;KDE Plasma Workspaces, GNOME;
Mandriva Linux;Binary blobs;ext4;systemd;KDE Plasma Workspaces;
Manjaro Linux;Binary blobs;none[53];systemd;Xfce, KDE, GNOME [54];
MEPIS;Binary blobs;ext3, ext4;sysvinit;KDE Plasma Workspaces;
Musix GNU+Linux[55];Linux-libre;ext4;initscripts;LXDE;
OpenELEC;Binary blobs;SquashFS;shell script;XBMC Media Center;
openSUSE;Binary blobs;btrfs;systemd;KDE Plasma Workspaces, GNOME, Xfce;
OpenWrt;Binary blobs;overlayfs+SquashFS/JFFS2[56];procd[57];none;
Parabola GNU/Linux-libre;Linux-libre;none;openrc or systemd;none;
Pardus;Binary blobs;ext4;?;KDE Plasma Workspaces;
Parsix;Binary blobs;ext4;systemd;GNOME;
