English;Malaysian;Indonesian;
abolition;pemansuhan;penghapusan, abolisi;
abortion;pengguguran;aborsi, pengguguran (of a fetus);
abroad;luar negara;luar negeri;
accessibility;kebolehcapaian, ketercapaian;keterjangkauan, ketercapaian, aksesibilitas;
account (bank, bills);akaun;rekening (from Dutch – only used in the bank), akun (used in all term of account excluding bank account);
accountability;kebertanggungjawapan, akauntabliti;akuntabilitas, pertanggungjawaban;
accountant;akauntan;akuntan;
accounting;perakaunan;akuntansi;
accurate;tepat;tepat, akurat influenced by Dutch accuraat;
administration;pentadbiran;administrasi;
after;selepas, setelah;selepas, sesudah, setelah (also used in Malay to indicate consecutive actions);
afternoon;petang;sore, petang;
agent;ejen, agen;agen;
air force;tentera udara;angkatan udara;
airport;lapangan terbang ('airfield' in Indonesian);bandar udara (bandara);
Algeria;Algeria;Aljazair from Arabic al-Jaz?'ir;
alliance;perikatan, persekutuan, pakatan;aliansi (influenced by Dutch alliantie), persekutuan;
alloy;pancalogam, aloi;logam paduan, logam campuran, aloi;
apartment;pangsapuri, rumah pangsa, rumah kondo (only for 'condominium');apartemen (influenced by Dutch appartement), rumah susun (rusun) (public housing for poor family), kondominium;
application (software);perisian penggunaan, aplikasi;perangkat lunak, aplikasi;
architecture;seni bina;arsitektur (influenced by Dutch architectuur);
archive;arkib;arsip from Dutch archief;
area;kawasan;daerah, area, kawasan;
armed forces;tentera;tentara, angkatan bersenjata;
army;tentera darat;angkatan darat;
assembly;majlis, perhimpunan (from the root verb 'himpun' meaning 'to gather/assemble');majelis, himpunan, perhimpunan;
assets;aset;harta, aset, aktiva (from Dutch activa);
association;persatuan;asosiasi (from Dutch associatie), persatuan, perkumpulan;
assumption;andaian, anggapan;asumsi, anggapan, dugaan;
astronaut;angkasawan;antariksawan, astronot;
Athens;Athens;Athena (influenced by Dutch Athene or from native Greek Athina);
athletics (sport);olahraga ('sport' in Indonesian);atletik;
auction;lelong from Portuguese leilão;lelang also from Portuguese leilão;
August;Ogos;Agustus from Dutch augustus;
auntie;makcik (also used in Riau Malay dialect in Indonesia), emak saudara, ibu saudara;bibi, tante from Dutch;
autobiography;autobiografi;autobiografi, otobiografi is a nonstandard spelling;
automatic;automatik (formerly otomatik);otomatis (derived from Dutch pronunciation of automatisch);
autonomy;autonomi;otonomi (Self-governing);
awkward;janggal; kekok (of gesture);aneh, janggal; canggung, kikuk (of gesture);
backpack;beg sandang (literally "sling bag");ransel (from Dutch), tas punggung;
backstage (of a theater or studio);belakang tabir;belakang layar (literally "back screen/behind the screen"), belakang panggung;
bag;beg;tas from Dutch;
baseband;jalur asas;pita dasar;
basin (wash basin/sink);besen;wastafel (from Dutch, lit. washing table);
basket (ball);keranjang;bola basket;
basket (in general);bakul;keranjang;
because;kerana, sebab;karena, sebab;
bed;katil;matras influenced by Dutch matras, tempat tidur, ranjang, kasur;
Belgium;Belgium;Belgia influenced by Dutch België;
Belgrade;Belgrade;Beograd;
belt (of a seat);tali keledar;sabuk, ikat pinggang;
bicycle;basikal;sepeda (influenced by French velocipede);
bill (legislation);rang undang-undang;rancangan undang-undang, legislasi;
billboard;papan iklan;baliho supposedly from English ballyhoo (in English it means extravagant publicity or fuss) papan iklan, papan reklame from Dutch reclame (advertisement);
billion;seribu juta, bilion;miliar (from Dutch miljard), milyar (informal but frequently used);
binary;perduaan;biner (from Dutch binaire);
bishop;biskop, bisyop;uskup;
board (company);lembaga 'agency' in Indonesian;dewan;
bonnet, hood (of a car);bonet, bumbung, hud;kap from Dutch;
boot, trunk (of a car);but;bagasi;
Britain;Britain;Inggris, Britania (influenced by Dutch Brittannië but it is rarely used);
Brussels;Brussels;Brussel (influenced by Dutch);
Bucharest;Bucharest;Bukarest;
bucket; pail;baldi;ember from Dutch emmer;
bus;bas;bus, bis nonstandard, influenced by Dutch pronunciation;
bus station;stesen bas;terminal bus ( frequently pronounced as terminal bis as it is derived from Dutch pronunciation of bus );
bus stop;perhentian bas;pemberhentian bus, halte bus from Dutch bushalte;
business;perniagaan, bisnes;perniagaan (less commonly used), bisnis;
Cairo;Kaherah from Arabic Al-Qahirah;Kairo;
Cambodia;Kemboja;Kamboja;
Cameroon;Cameroon;Kamerun;
camp;kem;kamp (reflects Dutch pronunciation);
campaign;kempen;kampanye (from Dutch campagne (a French loanword));
can (to be able);boleh, dapat;bisa, dapat,;
cancer;kanser, barah;kanker from Dutch;
capacitor;pemuat, kapasitor;kondensator, kapasitor;
capital city;ibu negara;ibu kota;
car;kereta (means carriage in Indonesian, commonly used as a shorthand for kereta api, which means train. Malay followed English derivation of car which was a contraction of horseless carriage);mobil (from Dutch/mid-English automobile);
card;kad;kartu from Dutch kaart;
career;kerjaya, karier;karier;
Caribbean;Caribbean;Karibia;
carrot;lobak merah;wortel from Dutch;
case;kes;kasus, hal;
cash;wang tunai;uang tunai, kas;
cashier;juruwang;kasir, from Dutch kassier juru uang(rare);
