Word;Malaysian meaning;Indonesian meaning;
ahli;a member (of a group) (when the word is used by itself) (from Arabo-Persian "ahli" ???? 'belonging to a group, people, indigenous or sim.'), expert in a field (from Arabo-Persian "'aqli" ???? 'belonging to the intellect or mind, intellectual');expert in a specific field;
akta (from Latino-Dutch acta);act (= law);act (= written legal document);
awak;you (casual);me / I (Used by speakers from Sumatra mainly Malays, people in Medan, etc), crew (of transportation);
baja;fertilizer;steel Malay: besi waja;
banci;census (Indonesian: sensus);effeminate, transvestite homosexual (negative connotation);
bandar;city;port;
bangun;to develop/ wake up (from sleep);to build / wake up (from sleep);
bapa;father (male parent);specific to 'Father' (God) in religious context (Christianity) our Father which art in Heaven = Bapa kami yang di surga Father in Indonesian is bapak (with an additional 'k' letter');
belanja;to treat, giving something for free;to shop (note: also carries this meaning in Malay, though in a context more akin to "spend".);
berbagi;to give;to share (something);
berbual;to chat;to tell a lie;
bercinta;in (the essence of) love;to make love, have sexual intercourse;
beredar;From the root word "edar" which can means; to oscillate (planets only), to leave, or to distribute;to oscillate, to distribute;
berlaku;happen, occur;apply;
biji;seed;seed, testicles ("balls", offensive);
bila;when;if, when (older version, almost obsolete);
bina;to build;to develop;
bisa;venom;can/be able to (also understood but less frequently used in Malay) (same as "boleh" in Malay), venom;
bontot/buntut;buttock;tail ('ekor' as commonly used in Malay, sometimes in Indonesia);
budak;kid Indonesian:anak or bocah;slave;
butoh/butuh;male genitals, an offensive reference;need;
cadangan;suggestion, opinion, proposal (example: peti cadangan = suggestion box) Indonesian:saran;reserve, spare (example: ban cadangan = spare tire);
comel;cute, pretty;(to call) someone who can not keep a secret (example: mulutnya comel= her mouth can't keep a secret);
daripada;A preposition that carries 5 meanings; 1. from (to explain the origin of something) 2.than (to do comparison) 3.from (to protect from, to avoid from ) 4. from (to state the sender of something) 5. from (to state the differences);than (comparison)(example: Kamus ini lebih baik daripada yang itu= This dictionary is better than that one);
detik;jiffy;second;
doktor;doctor (medical); doctorate (educational title);doctorate (educational title) In Indonesian, the equivalent for medical doctor is dokter;
duduk;to sit, a place to live on (only used informally);to sit, to occupy;
email;electronic mail (recently changed to "emel");enamel;
gampang;bastard from 'anak gampang' lit. easy child.;easy (non-negative meaning);
getah;rubber, plant sap;plant sap;
hemat;moral excellence;frugal, pennywise, save money or something e.g. electricity, gas or water usage;
jabatan;department;position;
jawatan;position;department;
jemput;to invite, to pick up;to pick up;
jeruk;pickles/preserved fruits or vegetables;orange (fruit);
jimat;frugal, pennywise, save money or something e.g. electricity;amulet (the Malay equivalent is azimat);
kacak;handsome;ber-kacak pinggang (stands with hands on your hips) The Malay equivalent is bercekak-pinggang, a phrase to mean that a person is being bossy;
kadar;rate;content, level;
kakak;elder sister;elder sibling (either elder brother or sister);
kakitangan;employee;subordinate (with negative meaning);
kapan;or kafan: Muslim burial shroud (kain kafan/kapan);when (kapan mau pulang?= when do you want to go home?);
karya;work of art (karyawan=artists);to work (karyawan= workers) result of work Karya seni=work of art to create a piece of art.;
kerajaan;government (historical association, most Malay states were governed by monarchs, from Raja = King, now refers to any kind of government);kingdom;
keranjang;'bola keranjang' = basketball (no other use than for basketball);basket;
kereta;car;vehicle, carriage, cart (kereta api = train, kereta kuda = horse carriage/cart, kereta gantung = cable car);
kesal;regret Indonesian:sesal;annoyed;
khidmat;service Indonesian:layanan;fully concentrate;
koneksi;'konek' = dick (slang/vulgar);connection Malay: Sambungan;
konfeksi;A soft solid made by incorporating a medicinal substance or substances with sugar, sirup, or honey;clothing industry, any fancy or luxurious women's clothes (Dutch: confectie. A non-standard spelling sometimes used is: "konveksi");
kurun;century;a long (time);
lucu;funny;funny, cute (slang);
mangsa;victim;prey for animal;
mengacau;to disturb, to stir Indonesian: mengaduk;to disturb;
operasi;mathematic operational symbol, tactical operation;mathematic operational symbol, police operation, operation/surgery (as in Dutch);
pajak;to mortgage, pawn;tax;
paket;packet;packet, package (normally used for promotion purposes, as in Dutch);
pantas;speedily;appropriate, 'no wonder';
pantat;buttock (Sabahan Malay meaning), vagina/pussy (slang/vulgar);buttock;
pelan;plan (associated with architectural work, site map etc. only);slow (perlahan in Malay);
penyelenggaraan;maintenance;organizing;
pejabat;office;high-rank officer/officials (those who hold office, Malay (pegawai));
pembangkang;opposition;rebel (noun), insurgent;
pemerintah;ruler;government;
pengacara;emcee, host Indonesian: pembawa acara;lawyer (but it has nothing to do with its root word acara which means an event or a TV program in both languages);
pengajian;studies Indonesian:pelajaran;mass recitation of Qur'an, (Islamic) teaching;
penganjur;organizer;promoter;
percuma;free of charge percuma can also mean free of charge in Indonesian, but its usage has become obsolete, replaced by cuma-cuma/gratis (taken from Dutch: gratis=free);useless, not needed;
petang;afternoon;evening;
piawai;standard; correct bahasa piawai = standard language;expert; skillful (on something);
pijat;bugs (software bugs i.e. Year 2000 bug and also commonly referring to the bed bugs);massage Javanese pijet;
pohon;tree, to plea or to beg (from basic word: "mohon");tree;
pokok;tree;essential, basic, main kebutuhan pokok = essential necessities;
polis;police;(insurance) policy (as in Dutch);
polisi;policy;police (as in Dutch);
punggung;buttock;back Malay: belakang;
pupuk;to nurture;fertilizer (also means 'to nurture' in the metaphorical sense of the word);
pusing;to go around a place, circular in motion, to spin/rotate Indonesian: putar;dizzy, confused, headache;
putera;prince Indonesian: Pangeran;son;
rambut;hair (for head only);hair;
rayuan;appeal (neutral);flattery, seduction (emotional or sexual connotation);
saat;second;jiffy;
sederhana;medium, normal;simple, easy;
senang;easy;happy, relax;
seronok;good, enjoyable;in nonstandard usage: "impolite", "pornography-related"[31][32] gambar seronok = porn picture;
sulit;confidential, difficult;difficult;
tambang;fare Indonesian: tarif;mine, rope (as tali tambang);
tandas;toilet;to explain, to finish;
wakil;representative;vice (for example, 'vice chancellor' and 'vice president'), representative;
