Resort name and website;Nearest city;State/province;Peak elevation (ft);Base elevation (ft);Vertical drop (ft);Skiable acreage;Total trails;Total lifts;Avg annual snowfall (in);Adult single day lift ticket price (USD);Date statistics updated;
Cooper;Leadville;Colorado;11,700;10,500;1,200;400;39;4;260;$52;February 7, 2017[1];
Grand Targhee Resort;Alta;Wyoming;10,121;7,851;2,270;2,602;99;5;500;$80;February 7, 2017[2];
Stratton Mountain Resort;Winhall;Vermont;3,875;1,872;2,003;670;97;11;180;$92;March 27, 2017[3];
Mt. Rose Ski Tahoe;Reno;Nevada;9,700;8,260;1,800;1200;60;8;396;$125;Oct 11, 2017[4];
Soldier Mountain;Fairfield;Idaho;7,177;5,756;1,400;1,180;36;2;;$40;February 7, 2017[5];
Pomerelle Mountain Resort;Albion;Idaho;9,000;8,000;1,000;500;24;2;500;$45;February 7, 2017[6];
Schweitzer;Sandpoint;Idaho;6,400;4,000;2,400;2,900;92;7;300;$77;February 7, 2017[7];
Brundage Mountain;McCall;Idaho;7,803;5,882;1,921;1,920;46;5;320;$64;February 7, 2017[8];
Bogus Basin;Boise;Idaho;7,582;5,800;1,800;2,600;78;7;200;$59;February 7, 2017[9];
Sun Valley;Sun Valley;Idaho;9,150;5,750;3,400;2,154;121;18;220[10];$125;February 7, 2017[11];
Panorama Mountain Resort;Invermere;British Columbia;7,792;3,773;4,019;2,847;120;10;196;$92;October, 2016[12][13];
Whitefish Mountain Resort;Kalispell;Montana;6,817;4,464;2,353;3,000;105;14;300;$76;October, 2016[14][15];
Arizona Snowbowl;Flagstaff;Arizona;11,500;9,200;2,300;777;40;7;260;$69;October, 2016[16][17];
Telluride Ski Resort;Telluride;Colorado;13,150;8,725;4,425;2,000;147;18;309;$86;October, 2016[18][19];
Arapahoe Basin;Keystone;Colorado;13,050;10,780;2,270;1,428;109;8;350;$109;October, 2016[20];
Pajarito Mountain Ski Area;Los Alamos;New Mexico;10,440;9,000;1,440;300;40;6;163;$49;October, 2016[21];
Taos Ski Valley;Taos;New Mexico;12,481;9,200;3,281;1,294;110;15;305;$98;October, 2016[22];
Ski Santa Fe;Santa Fe;New Mexico;12,075;10,350;1,725;660;79;7;225;$75;October, 2016[23];
Big Sky Resort;Bozeman;Montana;11,166;6,800;4,350;5,800;317;36;400;$119;October, 2016[24];
Beartooth Basin Summer Ski Area;Red Lodge;Montana;10,900;;1,000;600;9;2;;$46;December, 2017[25];
Jackson Hole Mountain Resort;Teton Village;Wyoming;10,450;6,311;4,139;2,500;133;15;459;$149;December 23, 2017[26];
Loveland Ski Area;Georgetown;Colorado;13,010;10,800;2,210;1,800;94;11;422;$71;October, 2016[27];
Revelstoke Mountain Resort;Revelstoke;British Columbia;7,300;1,680;5,620;3,121;69;5;430;$95;October, 2016[28];
Mount Ashland Ski Area;Ashland;Oregon;7,533;6,383;1,150;220;23;5;265;$39;October, 2016[29];
Keystone Resort;Keystone;Colorado;12,408;9,280;3,128;3,148;131;20;235;$112;October, 2016[30];
Breckenridge Ski Resort;Breckenridge;Colorado;12,998;9,600;3,398;2,908;187;34;353;$169;December 23, 2017[31];
Squaw Valley;Truckee;California;9,050;6,200;2,850;3,600;170;29;450;$93;October, 2016[32];
Mammoth Mountain;Mammoth Lakes;California;11,053;7,953;3,100;3,500;150;28;420;$96;April 20, 2012[33];
Heavenly Mountain Resort [1];South Lake Tahoe;California;10,067;7,200;3,500;4,800;94;30;360;$82;November 19, 2010;
Mount Shasta Ski Park;Mount Shasta;California;9,200;7,800;1,435;425;32;4;275;$44;April 20, 2012;
Alpine Meadows;Truckee;California;8,637;6,835;1,802;2,400;;14;365;$92;April 20, 2012;
Boreal;Soda Springs;California;7,700;7,200;500;380;41;8;400;$49;April 20, 2012;
Donner Ski Ranch;Norden;California;7,781;7,031;750;435;52;8;400;$45;April 20, 2012;
Homewood;Homewood;California;7,881;6,223;1,658;1,260;60;7;400;$57;April 20, 2012;
Kirkwood;Kirkwood;California;9,800;7,800;2,000;2,300;65;15;500;$79;April 20, 2012;
Northstar California;Truckee;California;8,610;6,330;2,280;2,904;93;19;350;$99;April 20, 2012;
Sierra-at-Tahoe;Twin Bridges;California;8,852;6,640;2,212;2,000;46;12;480;$77;April 20, 2012;
Sugar Bowl;Norden;California;8,383;6,883;1,500;1,500;94;13;500;$77;April 20, 2012;
Soda Springs;Soda Springs;California;7,325;6,673;652;200;15;2;400;$36;April 20, 2012;
Tahoe Donner;Truckee;California;7,350;6,750;600;120;10;3;400;$41;April 20, 2012;
Badger Pass;Yosemite National Park;California;8,000;7,200;800;90;10;5;300;$42;April 20, 2012;
Bear Valley;Angels Camp;California;8,500;6,600;1,900;1,280;67;10;359;;April 20, 2012;
Dodge Ridge;Sonora;California;8,200;6,600;1,600;832;62;12;300;;April 20, 2012;
June Mountain;June Lake;California;10,090;7,545;2,590;500;35;7;250;;April 20, 2012;
China Peak;Lakeshore;California;8,709;7,030;1,673;1,200;45;11;300;;April 20, 2012;
Alta Sierra;Wofford Heights;California;7,091;6,491;600;;6;2;80[34];$50[35];May 1, 2017;
Buckhorn Ski and Snowboard Club;Three Points;California;7,903;7,203;680;40;5;2;180;;April 20, 2012;
Bear Mountain;Big Bear Lake;California;8,805;7,104;1,665;198;24;12;100;;April 20, 2012;
Mount Baldy Ski Lifts;Mount Baldy;California;8,600;6,500;2,100;800;26;4;170;;April 20, 2012;
Mount Waterman;Three Points;California;8,030;7,000;1,030;150;27;3;180;;April 20, 2012;
Mountain High;Wrightwood;California;8,200;6,600;1,600;290;59;13;132[36];$59[37];February 14, 2014;
Snow Summit;Big Bear Lake;California;8,174;6,965;1,209;240;30;14;100;;April 20, 2012;
Snow Valley Mountain Resort;Running Springs;California;7,841;6,800;1,041;240;29;12;150;;April 20, 2012;
Wolf Creek Ski Area;Pagosa Springs;Colorado;11,904;10,300;1,604;1,600;77;7;465;;April 20, 2012;
Kicking Horse Resort;Golden;British Columbia;8,033;3,900;4,133;2,750;106;3;275;$73;February 20, 2011;
Eldora Mountain Resort [2];Nederland;Colorado;10,800;9,200;1,600;680;53;12;300;$69;February 18, 2011;
Alyeska Resort [3];Girdwood;Alaska;3,939;250;2,500;1,400;73;9;643;$60;November 18, 2010;
Marmot Basin [4];Jasper;Alberta;8,570;5,570;3,000;1,675;86;8;160;$73.;November 18, 2010;
Lake Louise Mountain Resort [5];Lake Louise;Alberta;8,650;5,400;3,250;4,200;139;9;180[38];$84.95[39];February 14, 2014;
Big White Ski Resort [6];Kelowna;British Columbia;7,606;4,950;2,656;2,800;118;16;294;$76;November 19, 2010;
Silver Star Mountain Resort [7];Vernon;British Columbia;6,282;3,789;2,500;3,269;128;12;275;$81;April, 2015[40];
Whistler Blackcomb [8];Whistler;British Columbia;7,494;2,140;5,280;8,171;200;37;404;$93;December 23, 2017;
Steamboat Springs [9];Steamboat Springs;Colorado;10,568;6,900;3,668;2,956;165;16;349;$125;January 30, 2015;
Copper Mountain (Colorado) [10];Frisco;Colorado;12,313;9,712;2,601;2,450;126;22;282;$74;November 19, 2010;
Vail Ski Resort;Vail;Colorado;11,570;8,120;3,450;5,289;195;31;354;$190;December 23, 2017;
Beaver Creek;Avon;Colorado;11,440;8,100;3,340;1,832;150;24;195;$169;December 23, 2017;
Winter Park Resort;Winter Park;Colorado;12,060;9,000;3,060;3,000;143;25;365;$92;;
Saddleback Maine;Farmington;Maine;4,120;2,120;2,000;485;66;5;200;$40;;
Boyne Mountain;Boyne City;Michigan;1,120;620;500;41;60;10;140;$59;;
Mountain Creek;Vernon Township;New Jersey;1,480;440;1,040;200;41;8;65;$62;;
Blue Mountain;Collingwood;Ontario;1,483;741;742;250;34;15;109;$67;;
Mt Bachelor [11];Bend;Oregon;9,065;5,700;3,365;4,318;101;11;462;$92;January 31, 2017;
Mount Hood Meadows [12];Portland;Oregon;7,300;4,523;2,777;2,150;85;11;430;$57;;
Mont-Sainte-Anne;Beaupré;Quebec;2,625;575;2,050;450;65;13;187;$65;;
Mont Tremblant Resort;Mont Tremblant;Quebec;2,870;750;2,120;627;95;14;156;$70.35;;
Le Massif;Petite-Rivière-Saint-François;Quebec;2,645;118;2,527;410;48;4;248;$61;;
