Name;Windows;MacOSX;Linux;BSD;Android;Prices;License;Latest stable release;Notes;
Beyond TV;Yes;No;No;No;No;Terminated (See notes);Proprietary;4.9.3 Build 6535 (October 15, 2010) (final version);Not compatible with DVB tuners. While Snapstream is providing minor fixes for Beyond TV, they are no longer actively updating and developing the software as they are focusing on commercial applications. Despite the lack of a new version, their fanbase (in the forums) remains active and the program is still available. See also: List of digital television deployments by country;
DVB Dream;Yes;No;No;No;No;$49;Proprietary;2.8.1 (January 18, 2016);Focused on DVB and live TV;
DVBViewer;Yes;No;No;No;No;€20;Proprietary;5.6.1 (March 15, 2016);;
Emby (formerly Media Browser);Yes;Yes;Yes;Yes;Yes (Client Only);Mixed[1];GPL & Proprietary[2];3.0.8100 (October 13, 2016);Compatible with SiliconDust HD Homerun Tuners.[1];
EyeTV;No;Yes;No;No;No;Bundled;Proprietary;3.6.1;Bundled for no extra charge with all Elgato USB tuners, but also sold separately for use with other tuners.;
Hauppauge WinTV;Yes;No;No;No;No;Bundled;Proprietary;WinTV8, CD4.1 (current Mar 16);Bundled for no extra charge, only works with Hauppauge TV cards and peripherals.;
InterVideo WinDVR;Yes;No;No;No;No;Discontinued;Proprietary;(final version);Discontinued. Used to be bundled for no extra charge with various TV tuner devices.;
JRiver Media Center;Yes;Yes;Yes;No;Yes;$49.98 (one license covers all owned HTPCs;Proprietary;21 October 2015 (October 2015)[2];DirectShow video player, madVR, LAV filters, HD audio, images, 10 foot GUI, Remote control, DLNA, Android/iPhone interface, automatic meta-data lookup for Audio, TV and Movies, fully customizable database;
Kodi (formerly XBMC);Yes;Yes;Yes;Yes;Yes;Free and open-source software;GPL;17.0 "Krypton" (February 1, 2017)[3];Cross-platform free and open-source software media center application, able to watch live or recorded TV, music, photos and has one of the most expansive collection of plugins/addons, enabling the system to do anything from browsing the web or downloading movies, to dimming the lights in the sitting room.;
MediaPhoenix/ShowShifter;Yes;No;No;No;No;MediaPhoenix – Unreleased ShowShifter – Discontinued (was £30);Proprietary;3.1 (final version);Supports some older TechnoTrend/Hauppauge boxes which are not BDA compliant, such as the Dec 2000-t/3000-s and first generation Nova-t USB boxes, which are unsupported by other PVR software.;
MediaPortal;Yes;No;No;No;No;Free and open-source software;GPL;MP1 1.15.0 (28 June 2016)[4] MP2 Spring '16 (6 April 2016)[4];built on the .NET 2.0 Framework;
MythTV;Limited[3];Yes;Yes;Yes;No;Free and open-source software;GPL;0.29 (July 31, 2017);Free Open Source software digital video recorder (DVR) project distributed under the terms of the GNU GPL. It has been under heavy development since 2002, and now contains most features one would expect from a good DVR.;
NextPVR;Yes;No;No;No;No;Freeware;Proprietary;4.0.4 (2017-07-23[5]);;
SageTV;Yes[4];Yes;Yes;No;Yes (Client Only);Free and open-source software formerly sold for $79.95 server and $29.95 per client.;GPL (Formerly Proprietary);7.1 (final retail version) 9.0 (free version);Java based. SageTV was purchased by Google on June 20, 2011 and its online store was shut. On 10 August 2015, it was announced by Narflex that SageTV officially became Open Source.[6];
Tvtime;No;No;Yes;No;No;Free and open-source software;GPL;1.0.2 (November 10, 2005);High quality television application for use with video capture cards on Linux systems. tvtime processes the input from a capture card and displays it on a computer monitor or projector;
Video Disk Recorder (VDR);No;No;Yes;Yes;No;Free and open-source software;GPL;2.2.0 (February 19, 2015);TV Done Right, VDR can use one to eight video cards and support DVB-S, DVB-C and DVB-T. Record and read any DVB flux with a lot of plugins.;
Windows Media Center;Yes;No;No;No;No;US $69.99: Pro Pack for Windows 8 and 8.1 US $9.99: Media Center Pack add-on for Windows 8 Pro and 8.1 Pro;Proprietary;6.3.9600.16384 (2013) (final version);Included with Windows XP Media Center Edition, Windows Vista Home Premium and Ultimate editions and Windows 7 Home Premium, Professional, and Ultimate editions. Was available for Windows 8 Pro and Windows 8.1 Pro as part of the Media Center Pack add-on, until it was discontinued on October 30, 2015.[7] Available for Windows 8, Windows 8.1 and Windows 10 unofficially through a windows command script installer.[8] Not available for Windows RT.;
VBox Home TV Gateway VBox@TV;Yes;Yes[5];Yes;No;No;Bundled;Proprietary;2.46 (November 11, 2014);Bundled for no extra charge with VBox Home TV Gateway - Network TV Tuner, Manage and schedule recordings from any web browser, local or over the internet;
