Name;Version;Date;
BProlog;8.1;2014-02-23;
JIProlog;4.1.6.1;2018-03-17;
Ciao;1.14.2;2011-08-15;
DOS-PROLOG;6.0;;
ECLiPSe;7.0;2018-01-22;
GNU Prolog;1.4.5;2018-07-14;
Jekejeke Prolog;1.3.1;2018-11-02;
JLog;1.3.6;2007-09-13;
JScriptLog;0.7.5 beta;2007-09-10;
jTrolog;;;
LPA-PROLOG;6.0;;
Open Prolog;;;
Poplog Prolog;V15.65;2015-10-14;
SICStus Prolog;4.3.5;2016-12-08;
Strawberry Prolog;3.0 Beta 4;2013-12-10;
SWI-Prolog;7.6.4;2018-01-12;
tuProlog;3.2.1;2017-02-14;
Visual Prolog;8.0, Build 801;2017-11-15;
XSB Prolog;3.8;2017-10-29;
YAProlog;6.3.3;2013-01-21;
