Name;macOS;Windows;Cygwin;BSD;Linux;Solaris;Java;OpenVMS;z/OS;AIX;HP-UX;iOS;Android;Maemo;Windows Phone;
AbsoluteTelnet;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
Bitvise;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
Cisco CLI Analyzer;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
ConnectBot;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;
CRAX Commander;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Dropbear;Yes;No;Yes;Yes;Yes;Yes;?;?;?;Yes;Yes;No;Yes;Yes;?;
eSSH Client;Yes;Yes;?;Yes;Yes;Yes;?;?;?;No;No;No;No;No;?;
GSW ConnectBot;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;
lsh;Yes;No;No;Partial[Note 1];Yes;Yes;?;?;?;No;No;No;No;No;?;
OpenSSH;Included;Optional[Note 2];Included;Included;Included[Note 3];Yes;?;Yes;Yes;Yes;Yes;Yes[Note 4];Yes;Yes;?;
PACManager;No;No;No;Partial;Yes;No;No;No;No;No;No;No;No;No;No;
PuTTY;Partial;Yes;?;Yes;Yes;Yes;No;?;?;No;No;No;No;No;Beta;
SecureCRT;Yes;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;No;?;
SmartFTP;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
SSH Tectia Client/ConnectSecure;No;Yes;No;No;Yes;Yes;Yes[Note 5];No;Yes;Yes;Yes;No;No;No;?;
Tera Term;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
TN3270 Plus;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
TtyEmulator;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
WinSCP;No;Yes;No;No;No;No;No;No;No;No;No;Yes[Note 4];No;No;?;
Xshell;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
ZOC;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;?;
Name;OS X;Windows;Cygwin;BSD;Linux;Solaris;Java;OpenVMS;z/OS;AIX;HP-UX;iOS;Android;Maemo;Windows Phone;
