Implementation;/dev/crypto;af_alg;Windows CSP;CommonCrypto;OpenSSL engine;
BearSSL;No;No;No;No;No;
Botan;No;No;No;No;Partial;
CryptoComply;Yes;No;No;No;Yes;
cryptlib;No;No;No;No;No;
GnuTLS;Yes;No;No;No;No;
JSSE;No;No;Yes;No;No;
LibreSSL;No;No;No;No;No[221];
MatrixSSL;No;No;No;Yes;Yes;
mbed TLS;No;No;No;No;No;
NSS;No;No;No;No;No;
OpenSSL;Yes;Yes;No;No;Yes;
RomSTL;No;No;No;No;No;
RSA BSAFE;No;No;No;No;No;
rustls;No;No;No;No;No;
SChannel;No;No;Yes;No;No;
Secure Transport;No;No;No;Yes;No;
wolfSSL;Yes;Yes;Partial;No;No;
Erlang/OTP SSL application;No;No;No;No;Yes;
Implementation;/dev/crypto;af_alg;Windows CSP;CommonCrypto;OpenSSL engine;
