Implementation;Block cipher with mode of operation;Stream cipher;
IDEA CBC [n 1](insecure)[143];DES CBC (insecure) [n 1];DES-40 CBC (EXPORT, insecure) [n 2];RC2-40 CBC (EXPORT, insecure) [n 2];RC4-128 (insecure) [n 3];RC4-40 (EXPORT, insecure) [n 4][n 2];
BearSSL;No;No;No;No;No;No;
Botan;No;No;No;No;No[144];No;
BoringSSL;No;No;No;No;Disabled by default at compile time;No;
CryptoComply;Disabled by default;Disabled by default;Disabled by default;Disabled by default;Disabled by default;Disabled by default;
cryptlib;No;Disabled by default at compile time;No;No;Disabled by default at compile time;No;
GnuTLS;No;No;No;No;Disabled by default[39];No;
JSSE;No;Disabled by default;Disabled by default;No;Disabled by default;Disabled by default [145];
LibreSSL;Yes;Yes;No[43];No[43];Yes;No[43];
MatrixSSL;Yes;No;No;No;Disabled by default;No;
mbed TLS;No;Disabled by default at compile time;No;No;Disabled by default at compile time[46];No;
NSS;Yes;Disabled by default;Disabled by default;Disabled by default;Lowest priority[146][147];Disabled by default;
OpenSSL;Disabled by default[52];Disabled by default;No[52];No[52];Disabled by default;No[52];
RomSTL;No;Disabled by default;No;No;No;No;
RSA BSAFE Micro-Edition Suite;No;No;No;No;Disabled by default;No;
RSA BSAFE SSL-J;No;Disabled by default;Disabled by default;No;Disabled by default;Disabled by default;
rustls;No;No;No;No;No;No;
SChannel XP/2003;No;Yes;Yes;Yes;Yes;Yes;
SChannel Vista/2008;No;Disabled by default;Disabled by default;Disabled by default;Yes;Disabled by default;
SChannel 7/2008R2;No;Disabled by default;Disabled by default;Disabled by default;Lowest priority will be disabled soon[148];Disabled by default;
SChannel 8/2012;No;Disabled by default;Disabled by default;Disabled by default;Only as fallback;Disabled by default;
SChannel 8.1/2012R2;No;Disabled by default;Disabled by default;Disabled by default;Disabled by default[148];Disabled by default;
Schannel 10[141];No;Disabled by default;Disabled by default;Disabled by default;Disabled by default[148];Disabled by default;
Secure Transport OS X 10.6;Yes;Yes;Yes;Yes;Yes;Yes;
Secure Transport OS X 10.7;Yes;Unknown;Unknown;Unknown;Yes;Unknown;
Secure Transport OS X 10.8-10.9;Yes;Disabled by default;Disabled by default;Disabled by default;Yes;Disabled by default;
Secure Transport OS X 10.10-10.11;Yes;Disabled by default;Disabled by default;Disabled by default;Lowest priority;Disabled by default;
Secure Transport macOS 10.12;Yes;Disabled by default;Disabled by default;Disabled by default;Disabled by default;Disabled by default;
wolfSSL;Disabled by default[149];No;No;No;Disabled by default;No;
Erlang/OTP SSL application;no;Disabled by default;no;no;Disabled by default;no;
Implementation;Block cipher with mode of operation;Stream cipher;
IDEA CBC [n 1](insecure)[143];DES CBC (insecure) [n 1];DES-40 CBC (EXPORT, insecure) [n 2];RC2-40 CBC (EXPORT, insecure) [n 2];RC4-128 (insecure) [n 3];RC4-40 (EXPORT, insecure) [n 4][n 2];
