Package;License;Windows;OS X;Linux;Market focus;Type;Structure;
24SevenOffice;Software as a Service;Yes;Yes;Yes;Low to mid-market;ERP, CRM, email, collaboration, Project management, Integrated VoIP;Web-based;
The Access Group;Proprietary;Yes;No;No;Mid-market;Financials, Customer Relationship Management, Manufacturing, Job Costing, POS, Inventory control, ERP, Business Intelligence, CIS, Payroll;Stand-alone;
Acumatica;Proprietary and Software as a service;Yes;Yes;Yes;Mid-market;ERP, CRM, E-Mail, Project Management, Integration, Notification, Employee;Web-based;
AME Accounting Software;Proprietary;Yes;No;No;Low to mid-market;Payroll, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, Small Business Accounting;Stand-alone;
Aplos Software;Proprietary;Yes;Yes;Yes;Low to mid-market nonprofit and faith-based organizations;Fund Accounting, general ledger, accounts receivable, accounts payable, Double-entry bookkeeping system, nonprofit organization accounting, online fundraising;Web-based;
Baan Corporation;Proprietary;Yes;Yes;Yes;Mid to Low-market;ERP;Stand-alone and web-based;
CGram Enterprise;Proprietary;Yes;Yes;Yes;Low to mid-market;Financials; ERP; CRM;Manufacturing; Multicompany; Multicurrency; Payroll; Inventory control; accounts receivable; accounts payable; general ledger;Stand-alone;
Cheqbook;Software as a Service;Yes;Yes;Yes;Low to mid-market;Double-entry bookkeeping system, accounts receivable, accounts payable, Small Business Accounting, Reporting, Business Intelligence, general ledger, Bank Reconciliation, Automatic bank feeds, Journal entries, Check printing, Online payment processing;Web-based;
CODA;Proprietary;Yes;No;Yes;Mid-market;GL; AP; AR; Analytics; Integration; etc.;Stand-alone/Web Access;
Comarch Altum;Proprietary;Yes;No;No;Low to mid-market;ERP; GL; Bookkeeping, Multi-Currency, Multi-Language, Double-entry bookkeeping system, AP; AR; Analytics; Integration; CRM; BI; e-commerce; Workflow; Retail; POS;Stand-alone / Web access;
Express Accounts from NCH Software;Proprietary;Yes;Yes;No;Low to mid-market;Business Accounting and Invoicing;Stand-alone/Web access;
FinancialForce.com;Software as a Service;Yes;Yes;Yes;Mid-market to enterprise;ERP, ordering & billing, accounts receivable, accounts payable, cash management, general ledger, reporting & dashboarding, multi-currency, multi-company, global tax, analytics;Web-based;
FlexAccount;Proprietary;Yes;No;No;Mid- to high-end market;ERP, Manufacturing, Intercompany, Multicurrency, Budgeting, Reporting, Analysis;Stand-alone and Web-based;
FreeAgent;Software as a Service;Yes;Yes;Yes;Freelancers and Microbusiness;Double-entry bookkeeping system, small business accounting, time tracking, project management, invoicing, expense management, bank feeds, payroll, stock, HMRC tax filing;Web-based;
FreshBooks;Software as a Service;Yes;Yes;Yes;Small Businesses (Small Businesses);Cloud accounting specialist for small business owners.;Web-based;
Gem Accounts;Software as a Service;Yes;Yes;Yes;Low to mid-market;General ledger, chart of accounts, accounts receivable, accounts payable, double-entry bookkeeping system, small business accounting, mid-market enterprise accounting, multi-currency, multi-language, multi-user, business reporting, management reporting, inventory control, service/project tracking & billing, payroll, open data and backup exports.;Web-based;
