Network Name;Location;Founded;Status;
24/7 Open AdStream [7];New York, NY;1997[8];Active;
AdBrite[9];San Francisco[10];2002[10];Defunct;
Adcash [11];Tallinn, Estonia;2007;Active;
Atlas Solutions[12];USA;2001;Active;
Bing Ads;Seattle;2006;Active;
Adform[13];Copenhagen, Denmark;2002;Active;
AdTaily [14];London, UK[15];2010[15];Active;
Advertising.com [16];Baltimore, Maryland;1998[17];Active;
AdWords[18];Ann Arbor, Michigan[19];2000[20];Active;
BlueLithium[21];San Jose, California[22];2004[22];Defunct[23];
Chitika[24];Westborough, Massachusetts[25];2003[26];Active;
Criteo[27];France[28];2005;Active;
DoubleClick[29];Chicago[30];1998[30];Active;
Baidu;Beijing, China;2000;Active;
ExoClick;Barcelona, Spain;2006;Active;
Hydra Network[31];Beverly Hills, California[32];2003[33];Defunct[34];
Right Media[35];New York[35][36];2004[37];Active;
Rocket Fuel[38];Redwood City, California;2008;Active;
ValueClick[39];Westlake Village, California[39];1998[40];Active;
Yahoo! Publisher Network[41];Sunnyvale, California;2005;Defunct;
Yashi[42];Toms River, New Jersey;2007;Active;
Zedo[43];San Francisco[44];1999[45];Active;
