Name;Author;First public release;Stable version;Cost;Software license;Based framework;Written in;
AIMP;AIMP DevTeam;August 8, 2006;Windows: v4.51, build 2080 (July 7, 2018; 5 months ago (2018-07-07)[1]) [±] Android: v2.80, build 627 (September 25, 2018; 2 months ago (2018-09-25)[2]) [±];Free;Proprietary;BASS audio library (decoder);Delphi;
Amarok;Mark Kretschmann;June 1, 2003;2.9 (March 7, 2018; 9 months ago (2018-03-07)) [±];Free;GPLv2;via Phonon: GStreamer, xine, MPlayer, VLC, DirectShow, QuickTime;C++;
Aqualung;Tom Szilagyi et al.;January 1, 2006;0.9beta11 January 30, 2013; 5 years ago (2013-01-30);Free;GPLv2 or later;;C;
aTunes;Alex Aranda et al.;January 1, 2006;3.1.2 (June 22, 2014; 4 years ago (2014-06-22)) [±];Free;GPLv2;;Java;
Audacious;Audacious Development Team;October 30, 2005;3.10 (August 8, 2018; 4 months ago (2018-08-08)[3]) [±];Free;BSD;XMMS based;C, C++ (GTK+);
Banshee;Aaron Bockover;February 17, 2005;2.6.2 (February 18, 2014; 4 years ago (2014-02-18)[4]) [±];Free;MIT;GStreamer;C#;
Clementine;Clementine Team;March 1, 2011;1.3.1 (April 19, 2016; 2 years ago (2016-04-19)) [±];Free;GPL;GStreamer;C++ (Qt);
cmus;Timo Hirvonen;January 18, 2005;2.7.1 (July 13, 2015; 3 years ago (2015-07-13)) [±];Free;GPL;;C;
Cog;Vincent Spader;May 1, 2006;0.07 (December 24, 2007; 10 years ago (2007-12-24)) [±];Free;GPL;;Objective-C;
Exaile;Adam Olsen;May 24, 2006;3.4.5 (April 27, 2015; 3 years ago (2015-04-27)) [±];Free;GPLv2 or later;GStreamer;Python (GTK+);
Ecoute;Louka Desroziers & Julien Sagot;September 2008;3.0.8;Free (until version 4);Proprietary;AV Foundation & QuickTime;Objective-C;
Flash MP3 Player;Reality Software;March 11, 2008;1.00;Free;Proprietary;;;
foobar2000;Peter Pawlowski;November 29, 2002;1.4.1 (November 14, 2018; 32 days ago (2018-11-14)[5]) [±];Free;Proprietary (core), BSD (SDK);;C++;
GMusicBrowser;Quentin Sculo;August 8, 2011;1.1.15 (released on August 20, 2015);Free;GPL;GStreamer/MPlayer/mpg123/mpv;GTK2 Perl;
Guayadeque Music Player;;February 1, 2003;3.11 (February 4, 2014; 4 years ago (2014-02-04)[6]) [±];Free;GPL;GStreamer;C++ (wxWidgets, wxSqlite);
iTunes;Apple Inc.;January 9, 2001;12.9.2 (December 5, 2018; 11 days ago (2018-12-05)) [±];Free;Proprietary;QuickTime;?;
JRiver Media Center;JRiver, Inc.;February 1, 1999;24.0.67 (December 4, 2018; 12 days ago (2018-12-04)[7]) [±];Non-free;Proprietary;JRiver code;C++;
JuK;Scott Wheeler;February 1, 2003;3.11 (February 4, 2014; 4 years ago (2014-02-04)[8]) [±];Free;GPL;;C++;
MediaMonkey Standard;Ventis Media Inc.;August 25, 2003;4.1.17 (August 16, 2017; 15 months ago (2017-08-16)) [±];Free;Proprietary;;Delphi, C;
MediaMonkey Gold;Ventis Media Inc.;August 25, 2003;4.1.17 (August 16, 2017; 15 months ago (2017-08-16)) [±];Non-free;Proprietary;;Delphi, C;
MediaMonkey Lifetime;Ventis Media Inc.;August 25, 2003;4.1.17 (August 16, 2017; 15 months ago (2017-08-16)) [±];Non-free;Proprietary;;;
Groove Music;Microsoft;2012;;Free;Proprietary;;;
MPXPLAY;MPXPLAY;January 1, 1998;1.62 (June 2, 2018; 6 months ago (2018-06-02)) [±];Free;GPL;;C;
Music on Console;Damian Pietras;January 1, 2002;2.5.1 (April 24, 2016; 2 years ago (2016-04-24)) [±];Free;GPL;;C;
Music Player Daemon;Warren Dukes;May 1, 2003;0.21.1 (November 4, 2018; 42 days ago (2018-11-04)[9]) [±];Free;GPL;;C;
MusicBee;Steven Mayall;December 4, 2008;3.2.6827 August 12, 2018; 4 months ago (2018-08-12);Free;Proprietary;BASS audio library;Visual Basic .NET;
musikCube;Casey Langen;January 1, 2005;1.1 Final[10] (March 23, 2012; 6 years ago (2012-03-23)) [±];Free;BSD;;;
Napster;William Christopher Gorog;October 1, 2003;4.6.3.4 (August 31, 2010; 8 years ago (2010-08-31)) [±];Non-free;Proprietary;;;
Quod Libet;Quod Libet Team;November 8, 2004;4.0.2 (January 17, 2018; 10 months ago (2018-01-17)) [±];Free;GPL;GStreamer;Python (GTK) PyGTK;
Rdio;Rdio Inc;[when?];Microsoft Windows: 1.12.0.0 (2013) WP 8+ : 4.0.5.0 (28 October 2013; 5 years ago (2013-10-28)) iOS: 3.0.3 (27 September 2014; 4 years ago (2014-09-27));(subscription required);Proprietary;;;
Rhapsody;RealNetworks;January 1, 2003;14.0 (16 October 2006) [±];(subscription required);Proprietary;;;
Rhythmbox;Colin Walters;April 1, 2004;3.4.2 (October 8, 2017; 14 months ago (2017-10-08)) [±];Free;GPL;GStreamer;C;
Songbird;POTI Inc.;February 8, 2006;2.2.0, Build 2453 (February 4, 2013; 5 years ago (2013-02-04)) [±];Free;GPL;GStreamer;
Sonic Visualiser;Centre for Digital Music at Queen Mary, University of London;;3.1.1 (August 14, 2018);Free;GPLv2 or later;;;
