Audio player;Lossy compression;Lossless compression;
MP3;WMA;RealAudio;Vorbis;Musepack;AAC;Dolby AC-3;VQF;Opus;APE;FLAC;ALAC;SHN;WV;WMA L;
AIMP;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes[21];Yes;Yes;Yes;Yes;No;Yes;Yes;
Amarok[22][23][24];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;
Audacious;Yes;Yes;No;Yes;Yes;Yes;Yes;?;Yes[25];Yes;Yes;Yes;No;Yes;?;
Audion;Yes;No;No;Yes;No;No;No;?;?;No;No;No;No;No;?;
Banshee;Yes;?;?;Yes;?;?;?;?;?;No;?;?;?;?;?;
cmus;Yes;Yes[25];No;Yes;Yes;Yes;Yes[25];?;Yes[26];Yes[25];Yes;Yes[25];Yes[25];Yes;?;
Cog;Yes;No;No;Yes;Yes;Yes;No;?;?;Yes;Yes;Yes;Yes;Yes;?;
Exaile;Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];?;Yes;Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];?;
foobar2000;Yes;Yes;No;Yes;Yes;Yes;Partial[19];No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Groove Music;Yes;Yes;No;No;;Yes;Yes;;;;Yes;;;;;
JRiver Media Center;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
JuK;Yes;No;No;Yes;Yes;No;No;?;?;Yes;Yes;No;Yes;No;?;
Media Jukebox;Yes[audionotes 1];Yes;Yes;Yes;Yes;Yes;Yes;?;?;Yes;Yes;Yes;Yes;Yes;?;
MediaMonkey;Yes;Yes;No;Yes;Yes;Partial[28];Partial[28];?;No;Yes;Yes;Yes;Partial[19];Partial[19];?;
MPXPLAY;Yes;Yes;No;Yes;Yes;Yes;Yes;?;Partial[19];Yes;Yes;No;No;Yes;?;
Music Player Daemon;Yes;Yes[25];Partial[25];Yes;Yes;Yes;Yes[25];Yes[25];Yes;Yes[25];Yes;Yes;Yes[25];Yes;?;
MusicBee;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes[21];Yes;Yes;Yes;Yes;Yes[21];Yes;Yes;
Musicmatch Jukebox;Yes;Yes;No;No;No;No;No;?;?;No;No;No;No;No;?;
musikCube;Yes;Partial[28];No;Yes;Partial[28];Partial[28];Partial[28];?;?;Yes;Yes;No;No;Partial[28];?;
Quod Libet;Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];?;Yes;Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];?;
Rhapsody;Yes;Yes;Yes;No;No;Yes;No;?;?;No;No;No;No;No;?;
Rhythmbox;Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];?;Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];Yes[27];?;
Sonique;Yes;Yes;No;Yes;Partial[28];Partial[28];No;?;?;No;No;No;No;No;?;
Spotify[29];Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Style Jukebox;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;No;No;Yes;
Winamp;Yes;Yes;Yes[19];Yes;Yes[19];Yes;?;?;?;?;Yes;?;?;Yes[19];?;
XMMS;Yes;Partial[28];Partial[28];Partial[28];Yes;Yes;No;Yes[19];?;Partial[28];Yes;No;Partial[28];Yes;?;
XMPlay;Yes;Yes[19];Yes[19];Yes;Yes[19];Yes[19];Yes[19];?;Yes[19];Yes[19];Yes[19];Yes[19];Yes[19];Yes[19];?;
Zinf;Yes;No;No;Yes;No;No;No;?;?;No;No;No;No;No;?;
Audio player;MP3;WMA;RealAudio;Vorbis;Musepack;AAC;Dolby AC-3;VQF;Opus;APE;FLAC;ALAC;SHN;WV;WMA L;
