Audio player;HTTP;RTSP (RTSPU, RTSPT);MMS (MMSU, MMST);Podcasting;Other;
AIMP;Yes;No;Yes;No;No;
Amarok;Yes;Yes;Yes;Yes;UPNP;
Audacious;Yes;No;Yes;No;?;
Audion;Yes;No;No;No;?;
cmus;Yes;No;No;No;?;
Cog;No;No;No;No;?;
foobar2000;Yes;Partial[protocolnotes 1];Yes;Partial[protocolnotes 2];?;
JuK;?;?;?;?;?;
JRiver Media Center;Yes;Yes;Yes;Yes;?;
MediaMonkey;Yes;No;No;Yes[protocolnotes 3];?;
MusicBee;Yes;?;?;Yes;?;
Musicmatch Jukebox;Yes;?;?;?;?;
musikCube;Yes;No;No;?;?;
Rhapsody;Yes;Yes;Yes;Yes;?;
Rhythmbox;Yes;Yes;No;Partial[protocolnotes 4];UPNP;
Sonique;Yes;?;?;?;?;
XMMS;Yes;?;?;?;?;
Zinf;Yes;Yes;No;No;?;
Audio player;HTTP;RTSP (RTSPU, RTSPT);MMS (MMSU, MMST);Podcasting;Other;
