Name;License;Can reside in;Can boot from;Can boot;
ESP (UEFI);MBR;VBR;Floppy;Hard disk;Second Hard disk;Logical partitions;CD-ROM;Floppy;USB;Zip;LAN;MS-DOS;Windows 9x/Me;Windows NT series;Windows Vista/7/8/10;Linux;ReactOS;MenuetOS;*BSD;Mac OS X;
Acronis OS Selector;Proprietary;?;?;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;?;?;Yes;Yes;
AiR-Boot;GPLv3;?;Yes;No;?;?;?;?;?;?;?;?;?;?;?;Yes;Yes;Yes;?;?;?;?;
AKernelLoader;GPLv2;?;Yes;No;Yes;Yes;Yes;Yes;?;Yes;Yes;?;?;?;?;?;?;Yes;?;?;?;?;
Barebox;GPLv2;Yes;Yes;No;?;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;?;?;?;?;Yes;?;?;?;?;
BootIt Bare Metal (formerly BootIt Next Generation);Proprietary;?;?;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;?;?;?;?;
BootKey;Proprietary;?;No;No;Yes;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;?;?;?;?;
BootManager;MIT;?;Yes;No;No;Yes;?;?;?;?;?;?;No;Yes;Yes;Calls NTLDR;Calls Windows Boot Manager;Calls GRUB or LILO;?;?;?;?;
BootX (Apple);Proprietary;?;?;?;?;Yes;?;?;?;?;?;?;Yes;?;?;?;?;?;?;?;?;Yes;
BootX (Linux);Proprietary;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;Yes;?;?;?;?;
Darwin Boot Loader;APSL 2.0;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;Yes;Yes;
Das U-Boot;GPLv2;?;?;?;?;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;?;?;?;?;Yes;?;?;Yes (FreeBSD);?;
GAG;GPLv2+;?;Yes (SafeBoot);No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Calls NTLDR;Calls Windows Boot Manager;Calls GRUB or LILO;Calls bootloader;Calls bootloader;Calls bootloader;No;
GRUB Legacy;GPLv2+;?;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Calls NTLDR;Calls Windows Boot Manager;Yes;Calls FreeLoader;Yes;Yes;Yes;
