Names;Underlying theory (symbolic, connectionist, or hybrid);Achievements;Estimated requirements;Non-laboratory usages;Activity status (active or dead + RSS news);Year of creation;Related publications;License (if applies, for example GPL);
4CAPS;?;?;?;?;?;?;?;;
ACT-R;hybrid;?;?;?;active;?;Anderson, 2007;;
ASMO;hybrid;Many robotic systems;?;IBM internet-of-things system;active;2009;Novianto, Johnston and Williams 2010;;
CHREST;symbolic;?;?;?;active;1992 [1];?;;
CLARION;hybrid;?;?;?;active;?;Sun, 2002;;
Copycat;?;?;?;?;?;?;?;;
Deeplearning4j;hybrid;online learning, anomaly detection, image recognition;?;?;active;Josh Patterson & Adam Gibson (2017);Apache 2.0;;
DUAL;hybrid;?;?;?;?;?;?;;
EPAM;?;?;?;?;?;1959 [1];?;;
EPIC;?;?;?;?;?;?;?;;
GLAIR;symbolic;?;?;?;active;?;Bona and Shapiro, 2009;?;;
Hierarchical Temporal Memory;connectionist;online learning, anomaly detection;?;anomaly detection;active;2009;Hawkins et al (multiple);AGPL;
LIDA;symbolic;?;?;?;?;?;?;;
MAMID;?;?;?;?;?;?;Hudlicka, 2002; 2003;?;;
Mibe architecture;?;?;?;?;?;1998;?;;
OpenCog;hybrid;chatbot, game avatar;?;misc subsystems in commercial, financial, medical;active;2001;Goertzel et al (multiple);AGPL;
Parallel terraced scan;?;?;?;?;?;?;?;;
Procedural Reasoning System;?;?;?;?;?;?;?;;
R-CAST;?;?;?;?;?;?;?;;
Soar;?;?;?;yes;active;1983;Laird (2012);;
Sigma;Hybrid;Ray Kurzweil Awards at AGI 2011 and 2012;?;not yet;active;2009;Rosenbloom, Demski, Ustun (2016);BSD 2 clause;
TinyCog;symbolic;?;?;?;active;2015;Bergmann and Fenton, 2015;GPL V3;
