Shell;Command name completion;Path completion;Command argument completion;Wildcard completion;Command history;Mandatory argument prompt;Automatic suggestions;Syntax highlighting;Directory history, stack or similar features;Implicit directory change;Auto­correction;Integrated environment;Snippets;Value prompt;Menu/options prompt;Progress indicator;Context sensitive help;Command builder;
Thompson shell;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Bourne shell 1977 version;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;
Bourne shell current version;No;Yes[29];No;No;Yes[29];No;No;No;Yes (CDPATH, pushd, popd, dirs), CDPATH since SVr4;No;No;No;No;Yes;No;No;No;No;
POSIX shell;No;No;No;No;Yes;No;No;No;Yes (CDPATH);No;No;No;No;Yes;No;No;No;No;
bash (v4.0);Yes;Yes;when defined;Yes[30];Yes;No;No;No;Yes (CDPATH, pushd, popd);optional;No;No;No;Yes;Yes;No;No;No;
csh;Yes;Yes;No;No;Yes;No;No;No;Yes (cdpath, pushd, popd);optional;No;No;No;Yes;No;No;No;No;
tcsh;Yes;Yes;when defined;No;Yes;No;No;No;Yes (cdpath, pushd, popd);optional;Yes;No;No;Yes;No;No;No;No;
Hamilton C shell;Yes;Yes;No;Yes;Yes;No;No;No;Yes (cdpath, pushd, popd);No;No;No;No;Yes;No;No;No;No;
Scsh;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;
ksh (ksh93t+);Yes (extendable);Yes (extendable);No;No;Yes;No;No;No;Yes (cdpath builtin, pushd, popd implemented as functions);No;No;No;No;Yes;Yes;No;No;No;
pdksh;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;
zsh;Yes;Yes;when defined;Yes[31];Yes;No;Yes (via predict-on or user-defined[32]);Third-party extension[33];Yes;optional;Yes;No;when defined (as ZLE widgets);Yes;Yes;No;Yes;No;
ash;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;
CCP;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
COMMAND.COM;No;No;No;No;No[34][35];No;No;No;No;No;No;No;No;No;No (only via external CHOICE command, in DR-DOS also via SWITCH / DRSWITCH internal commands);No;No;No;
OS/2 CMD.EXE;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
Windows CMD.EXE;partial;partial;No;No;Yes (F8);No;No;No;Yes (PUSHD, POPD);No;No;No;No;Yes (via SET /P command);No;No;No;No;
4DOS;Yes;Yes;Yes;Yes;Yes[36][37];No;No;No;(via popup, extended directory searches, CDPATH, PUSHD, POPD, DIRHISTORY, DIRS, CDD, CD - commands and %@DIRSTACK[] function);Yes;No;Yes;No;Yes (via INPUT, INKEY and ESET commands);Yes (via @SELECT[] function, and indirectly via a combination of INKEY, INPUT, SWITCH commands);No;Yes;No (except for OPTION command for INI file directives);
4OS2;?;?;?;?;Yes;No;No;No;Yes;Yes;No;?;No;?;?;No;Yes;No;
TCC (formerly 4NT);Yes;Yes;Yes;Yes;Yes;No;No;Yes;(via popup, extended directory searches, CDPATH, PUSHD, POPD, DIRHISTORY, DIRS, CDD, CD - commands and %@DIRSTACK[] function);Yes;No;Yes;No;Yes (via INPUT, INKEY, ESET and SET /P commands);Yes (via @SELECT[] function, and indirectly via a combination of INKEY, INPUT, SWITCH commands)[38];No;Yes;No;
PowerShell;Yes;Yes;Yes;Yes;Yes (F8);Yes;Yes, in ISE[39];Yes, in ISE[39] and PSReadLine[40] module (included in v5.0[41]);Yes; multiple stacks; multiple location types[42];No;Yes, in PSReadLine[40] module;Yes, in ISE[39];Yes, in ISE[39];Yes;Yes[43];Yes[44];Yes, in ISE[39];popup window[45];
rc;Yes[46];Yes[46];No;No;Yes[46];No;No;No;No;No;No;No;No;?;No;No;No;No;
BeanShell;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
VMS DCL;Minimum uniqueness scheme;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;
fish;Yes;Yes;when defined or parsable in man pages[47];Yes[47];Yes;No;Yes;Yes;Yes;Yes;Yes;Yes[48];No;Yes;(via fish_config command);No;No;No;
Shell;Command name completion;Path completion;Command argument completion;Wildcard completion;Command history;Mandatory argument prompt;Automatic suggestions;Syntax highlighting;Directory history, stack or similar features;Implicit directory change;Auto­correction;Integrated environment;Snippets;Value prompt;Menu/options prompt;Progress indicator;Context sensitive help;Command builder;
