;user manager;Plugin;Compare;Import;Export;Debugger;Source control;Spatial Visualization;
Adminer;Yes;Yes;Yes;SQL script, CSV, TSV or the above in zip (as a plugin); imports of server-site file in SQL or SQL in zip, gzip or bzip2;SQL script, CSV, TSV or the above in zip, gzip, bzip2; XML (as a plugin);No;Git;
Altova DatabaseSpy;No;No;Yes;CSV, XML;XML, XML Structure, CSV, HTML, MS Excel;No;?;
DaDaBIK;Some[7];No;No;No;CSV;Yes;No;
Database Workbench;Yes;No;Yes;Yes;Yes;Yes;?;
DataGrip;No;Yes;Yes;Yes;TXT, CSV, HTML, XML, DBF, SQL script, RTF, MS Word, MS Excel, MS Access, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF;No;Yes;
DBeaver;Yes;Yes;Yes;Yes;Yes;No;With Eclipse plugins;
DBEdit;No;No;No;No;MS Excel, PDF, Text, SQL script;No;?;
Epictetus;No;Yes;No;No;Excel;No;?;
ER/Builder Data Modeler;No;No;No;Yes - from MySQL, MariaDB, FireBird, Interbase and Postgres databases;Yes - Export DDL SQL and databases (MySQL, MariaDB, FireBird, Interbase and Postgres);No;No;
ModelRight;Some;Yes;Yes;Yes - from supported databases using native interfaces, or from any ODBC source;SQL; XML; DTD; Diagram as BMP, JPEG;No;?;
Navicat;Yes;No;Yes;Yes - TXT, CSV, DBF, HTML, MS Excel, MS Access, Paradox file, WK1, WQ1, XML, or from any ODBC source (See link for limitations[8]);Yes - TXT, CSV, HTML, XML, DBF, SQL script, RTF, MS Word, MS Excel, MS Access, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF (See link for limitations[8]);Yes;No;
Navicat Data Modeler;No;No;Yes;Yes - Import Database from server/ODBC;Yes - Export SQL;No;No;
MySQL Workbench;Yes;Yes;Yes;Yes - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML;Yes - CSV, HTML, JSON, MS Excel, SQL INSERTS, Tab-separated, XML;Yes;No;
Oracle SQL Developer;Yes;?;?;Yes;Yes;Yes;?;
Orbada;No;Yes;Yes;SQL script;SQL script, CSV, XML, HTML, PDF, Excel, DBF, DataText;No;No;;
pgAdmin III;Yes;Yes;No;CSV, Text, or binary;CSV, text, HTML, XML;Yes;No;
phpMyAdmin;Yes;Some;Yes;Yes - CSV, SQL, XML, Excel, ODS;Yes - CSV, LaTeX, Excel, Word, ODS, ODT, XML, SQL, YAML, Texy!, JSON, NHibernate, PHP, PDF, MediaWiki;Yes;Git;
SQL Database Studio;Yes;Yes;No;CSV, XML, MS Excel;CSV, HTML, MS Excel, SQL INSERTS, Tab-separated, XML;No;No;
SQLyog;Yes;?;Yes;Yes;Yes;?;?;
SQL Server Management Studio;Yes;Yes;?;Yes;Yes;Yes;Yes[9];Yes;
SQuirreL SQL;?;Yes;Yes;Yes;?;No;?;
Toad;Some;No;Yes;Yes;Yes;Yes;SVN, CVS, TFS, VSS;
Toad Data Modeler;No;?;Yes;Toad for Oracle ERD, ERWin 7.1(XML) via plugin;SQL; meta data in XML; report in HTML/RTF/CSV; diagram as BMP, JPEG, PNG;No;?;
TOra;Some;No;Yes;Yes;Yes;Yes;No;
