Brand;Model name;Sensor size;Effective megapixels;Lens mount;Viewfinder type;Viewfinder coverage;Metering zones;Focus points;Lowest ISO;Highest ISO;DxO score;DxO ISO[1];Cont. shtg;LCD size;Live view;Movie mode;Memory card;Video;Dimensions (mm);Weight (g)[2];Announced (date);In production;Reference;
Canon;5D Mark IV;Full frame;30.1;EF;Pentaprism;100;252;61;50;102400;91;2995;7;3.2;yes;yes;CF+SD;;150.7×116.4×75.9;890;Aug 2016;yes;[1];
Canon;1D X Mark II;Full frame;20.2;EF;Pentaprism;100;216;61;50;409600;88;3207;14;3.2;yes;yes;CF+CFast;;158x168x83;1530;Feb 2016;yes;[1] [2];
Canon;1D X;Full frame;18.1;EF;Pentaprism;100;252;61;50;204800;82;2786;14;3.2;yes;yes;CF (2x);;158x164x83;1530;Oct 2011;no;[3] [4];
Canon;1Ds Mark III;Full frame;21.1;EF;Pentaprism;100;63;45;50;3200;80;1663;5;3;yes;no;CF+SD;;150x160x80;1205;Aug 2007;no;[5][6];
Canon;1D Mark IV;APS-H;16.1;EF;Pentaprism;100;63;45;50;102400;74;1320;10;3;yes;yes;CF+SD;;156x157x80;1180;Oct 2009;no;[7][8];
Canon;5D Mark III;Full frame;22.3;EF;Pentaprism;100;63;61;50;102400;81;2293;6;3.2;yes;yes;CF+SD;;152x117x77;950 (860 without battery);Mar 2012;yes;[9][10];
Canon;5D Mark II;Full frame;21.1;EF;Pentaprism;98;35;9;50;25600;79;1815;3.9;3;yes;yes;CF;;152x114x75;810;Sep 2008;no;[11][12];
Canon;6D;Full frame;20.2;EF;Pentaprism;97;63;11;50;102400;82;2340;4.5;3;yes;yes;SD;;145x111x71;755 (680 without battery);Sep 2012;no;[13];
Canon;7D Mark II;APS-C;20.2;EF, EF-S;Pentaprism;100;252;65;100;51200;70;1082;10;3;yes;yes;CF+SD;;149x112x78;910 (820 without battery);Sep 2014;yes;[14][15];
Canon;7D;APS-C;18.0;EF, EF-S;Pentaprism;100;63;19;100;12800;66;854;8;3;yes;yes;CF;;148x111x74;820;Sep 2009;no;[16][17];
Canon;80D;APS-C;24.2;EF, EF-S;Pentaprism;100;63;45;100;25600;79;1135;7.0;3;yes;yes;SD;;139x105x79;730;Feb 2016;yes;[18] [19];
