Name;Windows NT;Windows Mobile (incl.Pocket PC);FreeBSD;Linux;Mac OS X;NetBSD;OpenBSD;DragonFly BSD;Android;iOS;
Aloaha Crypt Disk;Yes;No;No;No;No;No;No;No;?;?;
BestCrypt Volume Encryption;Yes;No;No;No[40];Yes;No;No;No;?;?;
BitArmor DataControl;Yes;No;No;No;No;No;No;No;?;?;
BitLocker;Yes;No;No;Partial[41];Partial[41];No;No;No;No;?;
Bloombase Keyparc;Yes;No;No;Yes;Yes;No;No;No;?;?;
Boxcryptor;Yes;No;No;Yes;Yes;No;No;No;Yes;Yes;
CenterTools DriveLock;Yes;No;No;No;No;No;No;No;?;?;
CGD;No;No;No;No;No;Yes;No;No;?;?;
Check Point Full Disk Encryption;Yes;Yes;No;Yes[42];Yes;No;No;No;?;?;
CipherShed;Yes;No;No[43];Yes;Yes;No;No;No;Yes[44];?;
CrossCrypt;Yes[45];No;No;No;No;No;No;No;No;?;
CryFS;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;?;
Cryhod;Yes;No;No;Yes;No;No;No;No;?;?;
Cryptainer;Yes;Yes[46];No;No;No;No;No;No;?;?;
CryptArchiver;Yes;No;No;No;No;No;No;No;?;?;
Cryptoloop;Yes[47];No;No;Yes;No;No;No;No;?;?;
Cryptomator;Yes[48];No;No;Yes;Yes;No;No;No;Yes;Yes;
CryptoPro Secure Disk Enterprise;Yes;No;No;No;No;No;No;No;No;?;
CryptoPro Secure Disk for BitLocker;Yes;No;No;No;No;No;No;No;No;?;
Cryptsetup / Dmsetup;Yes[47];No;No;Yes;No;No;No;Yes;?;?;
CryptSync;Yes;No;No;Yes;Yes;No;No;No;No;?;
Discryptor;No;No;No;No;No;No;No;No;?;?;
DiskCryptor;Yes;No;No;No;No;No;No;No;?;?;
DISK Protect;Yes;No;No;No;No;No;No;No;?;?;
Dm-crypt / LUKS;Yes[47];Yes[49];No;Yes;No;No;No;Yes;?;?;
DriveCrypt;Yes;No;No;No;No;No;No;No;?;?;
DriveSentry GoAnywhere 2;Yes;No;No;No;No;No;No;No;?;?;
E4M;Yes;No;No;No;No;No;No;No;?;?;
e-Capsule Private Safe;Yes;No;No;No;No;No;No;No;?;?;
eCryptfs;No;No;No;Yes;No;No;No;No;?;?;
EgoSecure HDD Encryption;Yes;No;No;No;No;No;No;No;?;?;
EncFS;Yes[50];Yes[51];Yes (FUSE);Yes (FUSE);Yes[50];Yes (FUSE);Yes (FUSE);Yes (FUSE);Yes[51];?;
EncryptStick;Yes;No;No;Yes;Yes;No;No;No;?;?;
FileVault;No;No;No;No;Yes;No;No;No;?;?;
FileVault 2;No;No;No;Partial[52];Yes;No;No;No;?;?;
FinalCrypt;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
FREE CompuSec;Yes;No;No;No;No;No;No;No;?;?;
FreeOTFE;Yes;Yes;No;Partial[53];No;No;No;No;No;?;
GBDE;No;No;Yes;No;No;No;No;No;?;?;
GELI;No;No;Yes;No;No;No;No;No;?;?;
Knox;No;No;No;No;Yes;No;No;No;?;?;
LibreCrypt;Yes;No;No;Partial[54];No;No;No;No;Yes[55];?;
Loop-AES;No;No;No;Yes;No;No;No;No;?;?;
McAfee Drive Encryption (SafeBoot);Yes;Yes[56];No;No;Yes;No;No;No;?;?;
n-Crypt Pro;Yes;No;No;No;No;No;No;No;?;?;
PGPDisk;Yes;No;No;No;Yes;No;No;No;?;?;
PGP Whole Disk Encryption;Yes;Yes;No;Yes;Yes;No;No;No;?;?;
Private Disk;Yes;No;No;No;No;No;No;No;?;?;
ProxyCrypt;Yes;No;No;No;No;No;No;No;No;?;
R-Crypto;Yes;No;No;No;No;No;No;No;?;?;
SafeGuard Easy;Yes;No;No;No;No;No;No;No;?;?;
SafeGuard Enterprise;Yes;No;No;No;Yes;No;No;No;?;?;
SafeGuard PrivateDisk;Yes;No;No;No;No;No;No;No;?;?;
SafeHouse Professional;Yes;No;No;No;No;No;No;No;?;?;
Scramdisk;Yes;No;No;Yes;No;No;No;No;?;?;
Scramdisk 4 Linux;No;No;No;Yes;No;No;No;No;?;?;
SecuBox;No;Yes;No;No;No;No;No;No;?;?;
SecureDoc;Yes;No;No;Yes;Yes;No;No;No;?;?;
Sentry 2020;Yes;No;No;No;No;No;No;No;?;?;
Softraid / RAID C;No;No;No;No;No;No;Yes;No;?;?;
SpyProof!;Yes;No;No;No;No;No;No;No;?;?;
Svnd / Vnconfig;No;No;No;No;No;No;Yes;No;?;?;
Symantec Endpoint Encryption;Yes;No;No;No[57];Yes;No;No;No;?;?;
Tcplay;No;No;No;Yes;No;No;No;Yes;No;?;
Trend Micro Endpoint Encryption;Yes;No;No;No;Yes;No;No;No;No;?;
TrueCrypt;Yes;No;No[58];Yes;Yes;No;No;No;Yes[44];?;
USBCrypt;Yes;No;No;No;No;No;No;No;No;?;
VeraCrypt;Yes;No;Yes;Yes;Yes;No;No;No;Yes[59];?;
CyberSafe Top Secret;Yes;No;No;No;No;No;No;No;Yes;?;
Name;Windows NT;Windows Mobile (incl. Pocket PC);FreeBSD;Linux;Mac OS X;NetBSD;OpenBSD;DragonFly BSD;Android;iOS;
