Manager;HTTP;HTTPS;FTP;SFTP;MMS;RTSP;Metalink;Magnet link;Podcast;RTMP;BitTorrent;eDonkey;
4K Video Downloader;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
BitComet;Yes;Yes;Yes;?;?;?;?;Yes;?;?;Yes;Yes;
Download Accelerator Plus;Yes;Yes;Yes;?;?;?;?;?;?;?;?;?;
DownloadStudio;?;?;?;?;?;?;?;?;?;?;?;?;
DownThemAll!;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;
FlashGet;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
Folx;?;?;?;?;?;?;?;?;?;?;?;?;
Free Download Manager;Yes;Yes;Yes;No;Yes[16];Yes[16];No;Yes[17];No;No;Yes;No;
Freemake Video Downloader;Yes;Yes;No;No;No;No;No;No;No;No;No;No;
Free Studio;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;
GetRight;Yes;Yes;Yes;No;No;No;Yes;?;Yes;No;Yes;No;
Go!Zilla;?;?;?;?;?;?;?;?;?;?;?;?;
Internet Download Accelerator;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;
Internet Download Manager;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;No;No;
JDownloader;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;
Jigdo;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;
KGet;Yes;Yes;Yes;Yes;Yes;No;Yes;?;No;No;Yes;No;
MiniDM;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;
MLDonkey;Yes;?;Yes;?;No;No;No;?;No;No;Yes;Yes;
Shareaza;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;
Manager;HTTP;HTTPS;FTP;SFTP;MMS;RTSP;Metalink;Magnet link;Podcast;RTMP;BitTorrent;eDonkey;
