Format;Filename extension;DRM support;Image support;Table support;Sound support;Interactivity support;Word wrap support;Open standard;Embedded annotation support;Book- marking;Video support;
Comic Book Archive;.cbr, .cbz, .cb7, .cbt, .cba;?;Yes;No;No;No;No;Yes;No;No;No;
DjVu;.djvu;?;Yes;Yes;No;No;No;Yes;Yes;Yes;No;
DOC;.doc;?;Yes;Yes;Yes;?;Yes;No;?;?;Yes;
DOCX;.docx;?;Yes;Yes;Yes;?;Yes;Yes;Yes;?;Yes;
EPUB (IDPF);.epub;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes/No[f 1];Yes/No[f 1];Yes[f 2];
FictionBook;.fb2;No;Yes;Yes/No[f 3];No;No;Yes;Yes;Yes;?;?;
HTML;.html;No;Yes;Yes;Yes[f 4];No;Yes;Yes;No;No;Yes[f 4];
iBooks;.ibook;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
INF;.inf;No;Yes;Yes;No;?;Yes;Yes;Yes/No[f 1];Yes/No[f 1];No;
Kindle;.azw;Yes;Yes;Yes[f 5][33];Yes[f 6][34];Yes;Yes;No;Yes;Yes;Yes[f 6][34];
Microsoft Reader;.lit;Yes;Yes;?;No;No;Yes;No;?;Yes;?;
Mobipocket;.prc, .mobi;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;?;
Multimedia EBook;.exe;Yes;Yes;?;Yes;Yes;No;Yes;Yes;Yes;?;
Newton Book;.pkg;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;
eReader;.pdb;Yes;Yes;?;No;No;Yes;No;Yes;Yes;?;
Plain text;.txt;No;No;No;No;No;Yes;Yes;No;No;No;
Plucker;.pdb;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;?;
Portable Document Format;.pdf;Yes;Yes;Yes;Yes;Yes;Yes/No[f 7][35];Yes;Yes;Yes;Yes[f 8];
PostScript;.ps;No;Yes;?;No;No;No;Yes;?;?;?;
Tome Raider;.tr2, .tr3;Yes;Yes;?;No;No;Yes;No;?;?;?;
OpenXPS;.oxps, .xps;?;Yes;Yes;?;No;No;Yes;?;?;?;
