File manager;Creator;First public version (date);Latest stable version (date, number);Cost;Software license;
Altap Salamander;Altap;August 15, 1997 (1997-08-15);December 27, 2016; 23 months ago (2016-12-27) (3.08);US$30;Proprietary;
Commander One;Eltima Software;August 4, 2015 (2015-08-04);September 29, 2015; 3 years ago (2015-09-29) (1.1);US$29.95 (lite: free);Proprietary;
CRAX Commander;Soft4U2;September 1, 2013 (2013-09-01);June 5, 2018; 6 months ago (2018-06-05) (1.11.1);US$19.99 (demo: free);Proprietary;
Directory Opus;Jonathan Potter, GPSoftware;Amiga: v1 (1990-01-03) Windows: v6 (2001-06-18);October 6, 2018; 2 months ago (2018-10-06) (12.10);A$49 lite / A$89 pro;Proprietary;
Dired;integral part of Emacs, part of the GNU project;1974?;July 30, 2009; 9 years ago (2009-07-30) (7.17);Free;GPL;
Dolphin;KDE;June 7, 2006 (2006-06-07) (0.5);June 8, 2017; 17 months ago (2017-06-08) (17.04.2);Free;GPL;
DOS Navigator;Ritlabs;1991 (0.90);1999 (1.51);Free;BSD original;
DOS Shell;Microsoft / IBM;1988;1998;Part of MS-DOS / PC DOS;Proprietary;
Double Commander;alexx2000;2007;June 3, 2018; 6 months ago (2018-06-03) (0.8.3);Free;GPL;
emelFM2;tooar;September 6, 2003 (2003-09-06);February 18, 2014; 4 years ago (2014-02-18) (0.9.1);Free;GPL;
Explorer++;David Ercig;January 8, 2008 (2008-01-08);February 3, 2013; 5 years ago (2013-02-03) (1.3.5);Free;GPL;
Far Manager;Eugene Roshal (original); Far Group;1996;3.0 build 5000 (7 August 2017; 15 months ago (2017-08-07)) [±];Free;BSD revised;
File Commander;Brian Havard;1993;March 3, 2011; 7 years ago (2011-03-03) (2.40);A$35.00;Proprietary;
File Manager;Microsoft (Ian Ellison-Taylor);1990;November 30, 1999; 19 years ago (1999-11-30) (4.0.1381.318);Part of Windows;Proprietary;
GeoManager;Berkeley Softworks / GeoWorks Corporation / Breadbox Computer Company;1990;2009;Part of PC/GEOS;Proprietary;
Finder;Apple Inc.;January 1984 (1984-01);August 13, 2015; 3 years ago (2015-08-13) (10.10.5);Part of macOS;Proprietary;
fman;Michael Herrmann;July 18, 2016 (2016-07-18);August 8, 2018; 4 months ago (2018-08-08) (1.1.7);US$18 (Demo: free);Proprietary;
ForkLift;BinaryNights;June 1, 2007 (2007-06-01);April 10, 2018; 7 months ago (2018-04-10) (3.2.2);US$29.95 (Demo: free);Proprietary;
Gentoo (file manager);Emil Brink;?;March 18, 2012; 6 years ago (2012-03-18) (0.19.13);Free;GPL;
GNOME Commander;GNOME Commander;September 2001 (2001-09);May 28, 2017; 18 months ago (2017-05-28) (1.6.4);Free;GPL;
Konqueror;KDE;October 2000 (2000-10);4.14.3 (November 11, 2014; 4 years ago (2014-11-11)) [±][1];Free;GPL;
Krusader;Krusader Krew;July 11, 2000 (2000-07-11);2.7.1 "Peace of Mind" (August 12, 2018; 3 months ago (2018-08-12)[2]) [±];Free;GPL;
Midnight Commander (mc);GNU Midnight Commander;< May 1994[3];March 12, 2016; 2 years ago (2016-03-12) (4.8.16);Free;GPL;
muCommander;Maxence Bernard;February 17, 2002 (2002-02-17);October 21, 2016; 2 years ago (2016-10-21) (0.9.1);Free;GPL;
GNOME Files (Nautilus);Eazel;April 11, 2001 (2001-04-11);3.30.2[4] (31 October 2018; 42 days ago (2018-10-31)) [±];Free;GPL;
Nemo;Linux Mint, part of Cinnamon desktop environment;July 2012 (2012-07) (1.0.0);December 11, 2018 (4.0.5)[5];Free;GPL;
Nomad.NET;Eugene Sichkar;August 14, 2008 (2008-08-14) (2.2.0.537 beta);June 13, 2016; 2 years ago (2016-06-13) (3.2.0.2890);Free;Proprietary;
Norton Commander;Peter Norton Computing, later Symantec corporation;1986;February 1, 1999 (1999-02-01) (2.01 Windows DOS: 1998-07-01 (5.51));?;Proprietary;
Path Finder (originally named SNAX);Cocoatech;April 2001 (2001-04);September 2, 2014; 4 years ago (2014-09-02) (7);US$39.95;Proprietary;
PathMinder;Albert Nurick and Brittain Fraley;1984;1988 (4.11);US$39.95;Proprietary;
PCManFM;Hong Jen Yee;January 9, 2006 (2006-01-09);February 21, 2016; 2 years ago (2016-02-21) (1.2.4);Free;GPL;
PC Shell;Central Point Software;1986;;Part of PC Tools for DOS;Proprietary;
ROX-Filer;Thomas Leonard et al.;Before March 10, 2000 (2000-03-10);October 9, 2011; 7 years ago (2011-10-09) (2.11);Free;GPL;
SpaceFM;IgnorantGuru;January 13, 2012 (2012-01-13) (0.5.0);January 20, 2016; 2 years ago (2016-01-20) (1.0.5);Free;GPL;
STDU Explorer;STDUtility;March 23, 2009 (2009-03-23);May 24, 2012; 6 years ago (2012-05-24) (1.0.465);Free;Proprietary;
Tabbles;Yellow blue soft UAB;August 1, 2009 (2009-08-01);August 12, 2016; 2 years ago (2016-08-12) (3.1.29);US$29.95 (lite: free);Proprietary;
Thunar;Xfce;January 22, 2006 (2006-01-22);June 6, 2018; 6 months ago (2018-06-06) (1.8.0)[6];Free;GPL;
Total Commander (originally named 'Windows Commander');Christian Ghisler;September 25, 1993; 25 years ago (1993-09-25) (1.00d);August 21, 2018; 3 months ago (2018-08-21) (9.21a);CHF40, €37, US$42 Nagware[7];Proprietary;
ViewMAX;Digital Research / Novell;1990 (1.0);1993 (3.0);Part of DR-DOS;GPL;
Volkov Commander;Vsevolod Volkov;circa 1992;4.05 (February 21, 2001; 17 years ago (2001-02-21)) [±];shareware / freeware;Proprietary;
Windows Explorer (now 'File Explorer');Microsoft;August 24, 1995 (1995-08-24);July 29, 2015; 3 years ago (2015-07-29);Part of Windows;Proprietary;
WinSCP;WinSCP;September 30, 2000 (2000-09-30);5.13.6 (December 12, 2018; 0 days ago (2018-12-12)[8]) [±];Free;GPL;
Xandros File Manager;Xandros Corporation;?;July 26, 2007; 11 years ago (2007-07-26) (4.2);Part of Xandros Desktop;Proprietary;
Xfe;Roland Baudin;2002;July 28, 2016; 2 years ago (2016-07-28) (1.42);Free;GPL;
Xfile;Rixstep;March 2, 2003 (2003-03-02);February 19, 2007; 11 years ago (2007-02-19) (1.8.0);US$79.00 (with 80+ other applications);Proprietary;
Xfm;Simon Marlow, Albert Gräf, Robert Vogelgesang, Juan D. Martin, Till Straumann;1992;September 2001; 17 years ago (2001-09) (1.4.3);Free;GPL;
xplorer²;Nikos Bozinis;June 10, 2004 (2004-06-10);December 13, 2017; 11 months ago (2017-12-13) (3.5.0.2);US$29.95 (pro, lite: free, ultimate: US$49.95);Proprietary;
XTree;Jeffery C. Johnson;April 1, 1985 (1985-04-01);1992; 26 years ago (1992) (Xtree for Windows);US$39.95;Proprietary;
XYplorer;Donald Lessau;1997;October 29, 2018; 44 days ago (2018-10-29) (19.30.0000);US$39.95 (lite: free);Proprietary;
ZTreeWin;Kim Henkel;1996;May 27, 2012; 6 years ago (2012-05-27) (2.1.19) May 26, 2013; 5 years ago (2013-05-26) (2.4.121 beta) May 31, 2017; 18 months ago (2017-05-31) (2.4.172 zeta);US$29.95 (1-4);Proprietary;
File manager;Creator;First public version (date);Latest stable version (date, number);Cost;Software license;
