File manager;SMB/CIFS;WebDAV;NFS;AFP;FTP;FISH/SSH;
Altap Salamander;Yes;No;Yes;No;Yes;Yes;
Commander One;Yes[n 1];Yes;Yes[n 1];Yes[n 1];Yes;Yes;
CRAX Commander;Yes[n 1];Yes;Yes[n 1];Yes[n 1];Yes;Yes;
Directory Opus;Yes;Yes;Yes;No;Yes;Yes (SFTP & SSL[34]);
Dired;Yes[n 1];Yes[n 1];Yes[n 1];No;Yes;Yes[n 1];
Dolphin;Yes;Yes;Yes;?;Yes;Yes;
Double Commander;Yes;?;?;?;Yes;?;
emelFM2;?;?;?;?;No;?;
Far Manager;Yes;Partial[n 2];Partial[n 3];No;Yes;Yes[n 4];
File Commander;Yes;Partial[n 2];Partial[n 3];No;Partial[n 5];Partial[n 6];
File Manager;?;?;?;?;?;?;
Finder;Yes[n 1];Yes[n 1];Yes[n 1];Yes[n 1];Partial[n 1];No;
ForkLift;Yes;Yes;Yes;Yes;Yes;Yes;
GNOME Commander;Yes;Yes;Yes;No;Yes;Yes;
Konqueror;Yes;Yes;Yes;Yes;Yes;Yes;
Krusader;Yes;Yes;Yes;No;Yes;Yes;
muCommander;Yes;?;Yes;?;Yes;Yes;
Midnight Commander;Yes;No;Yes;No;Yes;Yes;
GNOME Files (Nautilus);Yes;Yes;Yes;Yes;Yes;Yes;
Nemo;Yes}[n 7];?;?;?;?;?;
Nomad.NET;Yes;No;No;No;Yes;No;
Path Finder;Yes;Yes;Yes;Yes;Yes (Read Access);No;
PCManFM;Yes[n 7];?;?;?;?;?;
ROX-Filer;Yes[n 1];Yes[n 1];Yes[n 1];Yes[n 1];Yes[n 1];Yes[n 1];
Total Commander;Yes;Yes[n 4];Partial[n 3];No;Yes;Yes;
Thunar;Yes[n 7];Yes[n 7];Yes[n 7];No;Yes[n 7];Yes[n 7];
Windows Explorer;Yes;Yes;Yes[n 8];No;Yes;No;
Xandros File Manager;?;?;?;?;?;?;
Xfe;?;?;?;?;?;?;
Xfm;?;?;?;?;?;?;
xplorer²;Yes;Yes[n 9];Partial[n 3];No;Yes;No;
XYplorer;Yes;Yes;Yes[n 8];No;Yes;No;
ZTreeWin;Yes;Partial[n 5];Partial[n 3];No;Partial[n 5];Partial[n 6];
File manager;SMB/CIFS;WebDAV;NFS;AFP;FTP;FISH/SSH;
