File manager;File Name [D 1];File Contents [D 2];Basic metadata search [D 3];All metadata search [D 4];RegExp for Contents;Boolean (nesting levels);Fuzzy logic [D 5];Save searches [D 6];Refined searches [D 7];
Altap Salamander;Yes;?;Yes;?;Yes[s 1];Yes;?;Yes;Yes;
Commander One;Yes;Yes;Yes[s 2];Yes[s 2];Yes;Yes;?;No;No;
CRAX Commander;Yes;Yes;Yes[s 2];?;Yes;Yes;?;No;No;
Directory Opus;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Dired;Yes;?;No;No;Yes;Yes;Yes;No;No;
Dolphin;Yes;?;Yes;Yes;Yes;Yes;?;?;Yes;
Double Commander;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;
emelFM2;Yes;?;Yes;Yes;?;?;?;Partial;?;
FAR Manager;Yes;?;Yes;Yes;Yes[s 3];Yes[s 3];Yes[s 3];Yes;Yes;
File Commander;Yes;No;Yes;No;No;Yes;No;Yes;No;
Finder;Yes;?;Yes;Yes;No;?;?;Yes;?;
ForkLift;Yes;Partial;Yes;Yes;Yes;Yes;?;No;No;
Konqueror;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
Krusader;Yes;?;Yes;Yes;Yes[79];No;No;Yes;Yes;
GNOME Files (Nautilus);Yes;?;Partial [s 4];Partial [s 4];?;?;?;Yes;?;
Nemo;?;?;?;?;?;?;?;?;?;
Nomad.NET;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
Path Finder;Yes;?;Yes;Yes;No;No;?;No;No;
PCManFM;Yes;?;Yes;No;Yes;No;No;No;No;
ROX-Filer;Yes;?;Yes;Yes;Yes;Yes;?;No;?;
Total Commander;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Partial [s 5];
Windows Explorer;Yes;No;Yes;No;No;?;?;Yes;Yes;
Xandros File Manager;?;?;?;?;?;?;?;?;?;
Xfe;Yes;Yes[s 6];Yes;No;No;No;No;No;No;
Xfile;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;
Xfm;?;?;?;?;?;?;?;?;?;
xplorer²;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
XYplorer;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[s 7];
ZTreeWin;Yes;Yes;Yes;Partial;Partial [s 8];Yes;Yes;Yes;Yes;
File manager;File Name [D 1];File Contents [D 2];Basic metadata search [D 3];All metadata search [D 4];RegExp for Contents;Boolean (nesting levels);Fuzzy logic [D 5];Save searches [D 6];Refined searches [D 7];
