License;Author;Latest version;Publication date;
;;;;
Eiffel Forum License;NICE;2;2002;
freebsd;freebsd;1.0;2018;
Intel Open Source License;Intel Corporation;N/A;?;
PHP License;PHP Group;3.01;?;
RealNetworks Public Source License;RealNetworks;?;?;
Reciprocal Public License;Scott Shattuck;1.5;2007;
Sun Industry Standards Source License;Sun Microsystems;?;?;
Sun Public License;Sun Microsystems;?;?;
Sybase Open Watcom Public License;Open Watcom;N/A;2003-01-28;
Zope Public License;Zope Foundation;2.1;?;
