License;Author;Latest version;Publication date;Linking;Distribution;Modification;Patent grant;Private use;Sublicensing;TM grant;
;;;;;;;;;;;
Academic Free License[10];Lawrence E. Rosen;3.0;2002;Permissive;Permissive;Permissive;Yes;Yes;Permissive;No;
Affero General Public License;Affero Inc;2.0;2007;Copylefted[11];Copyleft except for the GNU AGPL[11];Copyleft[11];?;Yes[11];?;?;
Apache License;Apache Software Foundation;2.0;2004;Permissive[12];Permissive[12];Permissive[12];Yes[12];Yes[12];Permissive[12];No[12];
Apple Public Source License;Apple Computer;2.0;2003August 6, 2003;Permissive;?;Limited;?;?;?;?;
Artistic License;Larry Wall;2.0;2000;With restrictions;With restrictions;With restrictions;No;Permissive;With restrictions;No;
Beerware;Poul-Henning Kamp;42;1987;Permissive;Permissive;Permissive;No;Permissive;Permissive;No;
BSD License;Regents of the University of California;3.0;?;Permissive[13];Permissive[13];Permissive[13];Manually[13];Yes[13];Permissive[13];Manually[13];
Boost Software License;?;1.0;2003August 17, 2003;Permissive;?;Permissive;?;?;?;?;
Creative Commons Zero;Creative Commons;1.0;2009;Public Domain[14][15];Public Domain;Public Domain;No;Public Domain;Public Domain;No;
CC-BY;Creative Commons;4.0;2002;Permissive[16];Permissive;Permissive;No;Yes;Permissive;?;
CC-BY-SA;Creative Commons;4.0;2002;Copylefted[16];Copylefted;Copylefted;No;Yes;No;?;
CeCILL;CEA / CNRS / INRIA;2.1;2005June 21, 2013;Permissive;Permissive;Permissive;No;Permissive;With restrictions;No;
Common Development and Distribution License;Sun Microsystems;1.0;2004-12December 1, 2004;Permissive;?;Limited;?;?;?;?;
Common Public License;IBM;1.0;2001May 2001;Permissive;?;Copylefted;?;?;?;?;
Cryptix General License;Cryptix Foundation;N/A;1995;Permissive;Permissive;Permissive;Manually;Yes;?;Manually;
Eclipse Public License;Eclipse Foundation;2.0;August 24, 2017;Limited[17];Limited[17];Limited[17];Yes[17];Yes[17];Limited[17];Manually[17];
Educational Community License;Indiana University[18];1.0;2007;Permissive;?;Permissive;?;?;?;?;
European Union Public Licence;European Commission;1.2;2009May 2017;Copylefted, with an explicit compatibility list[19];Copylefted, with an explicit compatibility list[19];Copylefted, with an explicit compatibility list[19];Yes[20];Yes[20];Copylefted, with an explicit compatibility list[19];No[20];
GNU Affero General Public License;Free Software Foundation;3.0;2007;GNU GPLv3 only[21];Copylefted[22];Copylefted[22];Yes[23];Copylefted[23];Copylefted[22];Yes[23];
GNU General Public License;Free Software Foundation;3.0;2007June 2007;GPLv3 compatible only[24][25];Copylefted[22];Copylefted[22];Yes[26];Yes[26];Copylefted[22];Yes[26];
GNU Lesser General Public License;Free Software Foundation;3.0;2007June 2007;With restrictions[27];Copylefted[22];Copylefted[22];Yes[28];Yes;Copylefted[22];Yes[28];
IBM Public License;IBM;1.0;1999August 1999;Copylefted;?;Copylefted;?;?;?;?;
ISC license;Internet Systems Consortium;N/A;2003June 2003;Permissive;Permissive;Permissive;?;?;?;?;
LaTeX Project Public License;LaTeX project;1.3c;?;Permissive;?;Permissive;?;?;?;?;
Microsoft Public License;Microsoft;N/A;?;Permissive;Permissive;Permissive;No;Permissive;?;No;
MIT license / X11 license;MIT;N/A;1988;Permissive[29];Permissive[29];Permissive[29];Manually[29];Yes[29];Permissive[29];Manually[29];
Mozilla Public License;Mozilla Foundation;2.0;2012January 3, 2012;Permissive[30];Copylefted[30];Copylefted[30];Yes[30];Yes[30];Copylefted[30];No[30];
Netscape Public License;Netscape;1.1;?;Limited;?;Limited;?;?;?;?;
Open Software License[10];Lawrence Rosen;3.0;2005;Permissive;Copylefted;Copylefted;Yes;Yes;Copylefted;?;
OpenSSL license;OpenSSL Project;N/A;?;Permissive;?;Permissive;?;?;?;?;
Python Software Foundation License;Python Software Foundation;2;?;Permissive;?;Permissive;?;?;?;?;
Q Public License;Trolltech;?;?;Limited;?;Limited;?;?;?;?;
Sleepycat License;Sleepycat Software;N/A;1996;Permissive;With restrictions;Permissive;No;Yes;No;No;
Unlicense;unlicense.org;1;2010December 2010;Permissive/Public domain;Permissive/Public domain;Permissive/Public domain;?;Permissive/Public domain;Permissive/Public domain;?;
W3C Software Notice and License;W3C;20021231;2002December 31, 2002;Permissive;?;Permissive;?;?;?;?;
Do What The Fuck You Want To Public License (WTFPL);Banlu Kemiyatorn, Sam Hocevar;2;2004December 2004;Permissive/Public domain;Permissive/Public domain;Permissive/Public domain;No;Yes;Yes;No;
XCore Open Source License also separate "Hardware License Agreement";XMOS;?;2011February 2011;Permissive;Permissive;Permissive;Manually;Yes;Permissive;?;
XFree86 1.1 License;The XFree86 Project, Inc;?;?;Permissive;?;Permissive;?;?;?;?;
zlib/libpng license;Jean-Loup Gailly and Mark Adler;?;?;Permissive;?;Permissive;?;?;?;?;
