;Guest account;Customer testimonials;Featured products;Glossary, tool tip words;Image enlarge;Mini cart;Multiple addresses;Newest products;Newsletter;News;Next-previous product links;Polls;Popular products;Printing-friendly;
Apache OFBiz;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Batavi;?;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;
Bigcommerce;Yes;Add-on;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;3rd party add-on;Yes;No;
Drupal Commerce;Yes;Yes;Yes;Add-on;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Add-on;
KonaKart;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
LemonStand;?;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;
nopCommerce;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;
Magento;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;
osCommerce;Add-on;Add-on;Add-on;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Add-on;Yes;Add-on;
OpenCart;Yes;Yes;Yes;?;Yes;?;Yes;Yes;Yes;Add-on;?;No;Yes;Yes;
pimcore;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
PrestaShop;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Sana Commerce;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;
Shopify;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
SupaDupa;?;No;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;No;Yes;Yes;
Virto Commerce;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
WooCommerce;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Zen Cart;Add-on[24];Add-on[25];Yes;No;Yes;No;Add-on[26];Yes;Yes;No;Yes;No;Yes;Yes;
;Guest account;Customer testimonials;Featured products;Glossary, tool tip words;Image enlarge;Mini cart;Multiple addresses;Newest products;Newsletter;News;Next-previous product links;Polls;Popular products;Printing-friendly;
