;Product import-export;Statistics;Stock control;WYSIWYG editor;
Apache OFBiz;Yes;Yes;Yes;Yes;
Batavi;Yes;Yes;Yes;Yes;
Bigcommerce;Yes;Yes;Yes;Yes;
Drupal Commerce;Yes;Yes;Yes;Yes;
KonaKart;Yes;Yes;Yes;Yes;
LemonStand;Yes;Yes;Yes;Yes;
Magento;Yes;Yes;Yes;Yes;
nopCommerce;Yes;Yes;Yes;Yes;
osCommerce;free add-on;Yes;Yes;free add-on;
pimcore;Yes;Yes;Yes;Yes;
PrestaShop;Yes;Yes;Yes;Yes;
Sana Commerce;Yes;Yes;Yes;Yes;
Shopify;Yes;Yes;Yes;No;
SupaDupa;Yes;Yes;Yes;No;
Virto Commerce;Yes;Yes;Yes;Yes;
WooCommerce;Yes;Yes;Yes;Yes;
Zen Cart;free add-on;Yes;Yes;free add-on;
;Product import-export;Statistics;Stock control;WYSIWYG editor;
