;Access control list;Form CAPTCHA;Staff action logging;PA/DSS certified;
Apache OFBiz;Yes;Yes;Yes;No;
Batavi;Yes;No;Yes;No;
Bigcommerce;Yes;Yes;Yes;Yes;
Drupal Commerce;Yes;free add-on;Yes;No;
KonaKart;Yes;No;Yes;No;
LemonStand;Yes;Yes;Yes;No;
Magento;Yes;Yes;enterprise;Yes / Magento Payment Bridge;
Miva Merchant;n/a;n/a;n/a;Yes;
nopCommerce;Yes;Yes;Yes;No;
osCommerce;Yes;No;No;No;
pimcore;Yes;No;No;No;
PrestaShop;Yes;Yes;No;No;
Sana Commerce;Yes;No;Yes;Yes;
Shopify;Yes;Yes;Yes;No;
SupaDupa;Yes;No;No;No;
Virto Commerce;Yes;No;Yes;No;
WooCommerce;?;?;?;?;
Zen Cart;Yes;free add-on;Yes;Yes;
;Access control list;Form CAPTCHA;Staff action logging;PA/DSS certified;
