Foundatio;Company;Founded;Storage;Monthly bandwidth;File size limit;FTP upload;Page builder;Templates;Ad-free;Blog;Domain registration;Archive site;Custom HTML;Custom CSS;Custom JavaScript;Custom File hosting;API;HTML5;eCommerce;Prices of connecting owned domain;
Angelfire;Lycos;1996;20 MB;1 GB;?;Paid Only;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;?;
Google Sites*;Google;2008;100 MB;1 GB/day;20 MB[1];No;Yes;Yes;Yes;No;No;Partial;Yes;Yes;No;No;No;No;No;Free[2];
Jimdo[3];Jimdo;2007;500 MB;2GB;10 MB - 100 MB;No;Yes;Yes;Paid Only;Yes;Paid Only;No;Yes;Yes;Yes;No;No;Yes;Yes;US$90/year;
Neocities;Neocities;2013;1 GB;200 GB;100 MB;No;Yes;Yes;Yes;No;Paid Only;Yes;Yes;Yes;Yes;No;Yes;Yes;No;US$5.00/mo[4];
Tripod.com;Lycos;1995;20 MB;1 GB;?;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;?;
uCoz;uCoz Media;2005;400 MB;Unlimited;15 MB;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;?;
Webnode;Webnode;2008;100 MB;1 GB;100 MB;No;Yes;Yes;No;Yes;Paid Only;Yes;Partial;Partial;Partial;Yes;No;Yes;Yes;US$3.95/mo[5];
Webs;FreeWebs;2001;40+ MB;500 MB;?;Paid Only;Yes;Yes;No;Yes;Yes;Yes;Paid Only;Yes;?;?;No;No;Yes;US$5.99/mo;
Weebly;Weebly;2006;500MB;Unlimited;10 MB;No;Yes;Yes;No;Yes;Paid Only;Yes;Partial;Yes;Yes;Yes;Yes;Yes[6];Paid Only;US$96/yr;
Wix.com;Wix.com;2006;500MB;500MB;50MB;No;Yes;Yes;US$10/mo;Yes;Paid Only;Yes;Partial;Inline Only;Yes;No;Yes;Yes;Yes[7];US$5.00/mo[8];
WordPress.com;Automattic;2004;3 GB;Unlimited;Unlimited;No;Yes;Yes;No;Yes;Yes;Yes;Partial;Paid Only;No;No;Yes;Yes;Yes[9];US$4.00/mo[10];
Yola;Yola;2007;1 GB;1 GB;5 MB;No;Yes;Yes;Yes;Yes;Paid only;Yes;Yes;Yes;No;Yes;Paid only;Yes[11];No;US$4.95/mo;
