Name;Individual view;Family view;Pedigree view;Chronology view;Ancestor charts;Ancestor narrative reports;Ancestor pedigree reports;Descendant charts;Descendant narrative reports;Fan charts;Research Manager;DNA charts;Research Guidance;Mapping;
Agelong Tree;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;
Ahnenblatt;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;
Ancestral Quest;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;
Brother's Keeper;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;?;?;No;?;
Family Historian[a];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;
Family Tree Builder;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
Family Tree Maker;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;
GEDitCOM II;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;
Genbox Family History;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;
GenealogyJ;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;
GenEarth;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;?;?;Yes;
Genney;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;?;Yes;
GenoPro;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;No;Yes;
Gramps;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;
Heredis;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
Legacy Family Tree[b];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
LifeLines;Yes;Yes;Yes;?;?;?;?;?;?;?;?;?;No;?;
MacFamilyTree;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;
Personal Ancestral File;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;?;No;?;
Reunion;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;
RootsMagic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
The Master Genealogist;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;No;?;
