Manager;Creator(s);First public release date;Latest stable version;Downloadable without paying?;Software license;Windows;Mac OS X;Linux;
Amarok;Mark Kretschmann;2003-06-23;2.9 (March 7, 2018; 8 months ago (2018-03-07)) [±];Yes;GPL;Yes;Experimental (leopard);Yes;
Banshee;Aaron Bockover;2005-08;2.6.2 (February 18, 2014; 4 years ago (2014-02-18)[1]) [±];Yes;MIT;Experimental;Experimental;Yes;
Clementine;David Sansome, John Maguire;February 2010;1.3.1 (April 19, 2016; 2 years ago (2016-04-19)) [±];Yes;GPL v3;Yes;Yes;Yes;
ephPod;ephpod;?;2.77 (January 16, 2009);Yes;?;Yes (XP, NT, 2k);No;No;
gtkpod;Jorg Schuler;?;2.1.5 (Jun 2, 2015);Yes;GPL;No;No;Yes;
iRip;The Little App Factory;2003-09;2.1 (Mac) (May 6, 2011; 7 years ago (2011-05-06)[2]) [±] 1.0.1.25 (Windows) (8 April 2010; 8 years ago (2010-04-08)[3]) [±];No;Proprietary;Yes;Yes;No;
iTunes;Apple Inc.;2001-01-08;12.9.2 (December 5, 2018; 3 days ago (2018-12-05)) [±];Yes;Proprietary;Yes;Yes;No;
JRiver Media Center;J. River;2003-07;21.0. (June 30, 2015; 3 years ago (2015-06-30)) [±];Yes (trial);Proprietary;Yes;Yes;No;
MediaMonkey;Ventis Media Inc.;2003-08-25;4.1.17 (August 16, 2017; 15 months ago (2017-08-16)) [±];Yes (Standard);Proprietary;Yes;No;No;
Rhythmbox;Colin Walters;2004-04;3.4.2 (October 8, 2017; 13 months ago (2017-10-08)) [±];Yes;GPL;No;No;Yes;
Senuti;FadingRed;2006-04-26;1.1.7 (Oct 6, 2009)[4];Yes (limited trial);Proprietary;No;Yes;No;
Winamp native;Nullsoft;1997-06;5.8.3660 (October 19, 2018; 50 days ago (2018-10-19)) [±];Yes (Bundle & Full);Proprietary;Yes;No;No;
XPlay;Mediafour;2002-06-24;3.5.0 (Dec 30, 2009)[5];No;Proprietary;Yes;No;No;
TouchCopy;Wide Angle Software;2000-05;12 (2016);Yes;Proprietary;Yes;Yes;No;
Manager;Creator(s);First public release date;Latest stable version;Downloadable without paying?;Software license;Windows;Mac OS X;Linux;
