Program;ARW Sony;CR2 Canon;DNG Adobe;NEF Nikon;ORF Olympus;PEF Pentax;RAF Fujifilm;SRW Samsung;X3F Sigma;Others;Notes;
ACDSee;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;cRAW, CRW, DCR, ERF, HDR, MRW, RAW, RWL, sRAW;[1];
Aperture;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;CRW, MOS, RAW, FFF, 3FR;[2];
digiKam;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;Several;[3][4];
F-Spot;ARW?;CR2;DNG;NEF;ORF;PEF;RAF;SRW?;X3F?;CRW, MRW, RAW, SRF;
FastPictureViewer (registered edition);ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;NRW, RW2, SR2, SRF, RWZ etc.;[5];
Geeqie;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW?;X3F;3FR, CRW, DCR, ERF, K25, KDC, MEF, MOS, MRW, PTX, R3D, RAW, SR2, SRF;
IrfanView;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;CRW, EEF, DCR, MRW, NRW, RW2, SRF;[6];
Phase One Media Pro;ARW?;CR2?;DNG;NEF;ORF?;PEF?;RAF;SRW;X3F?;CRW, MOS, RAW;
Picasa;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;3FR, CRW, DCR, KDC, MRW, NRW, RAW, RW2, SRF, SR2;[7];
Shotwell;ARW?;CR2?;DNG?;NEF?;ORF?;PEF?;RAF?;SRW?;X3F?;;Support "limited", export 8-bit only [8];
XnView and XnViewMP;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;CRW, RWZ and more;[9];
Zoner Photo Studio;ARW;CR2;DNG;NEF;ORF;PEF;RAF;SRW;X3F;3FR, CRW, ERF, KDC, MEF, MRW, RAW, RW2, RWZ, SR2, SRF;[10];
