Mail server;SMTP AUTH;POP before SMTP;APOP;Filesystem;Database;LDAP;Other;
agorum core;Yes;No;No;No;Yes;Yes;PLAIN, LOGIN, CRAM-MD5, NTLM;
Apache James;Yes;?;?;?;Yes;Yes;PLAIN, LOGIN;
Axigen;Yes;No;Yes;No;No;Yes;GSSAPI, CRAM-MD5, DIGEST-MD5, APOP, CLRTXT, LOGIN, PLAIN, LDAP, Internal;
CommuniGate Pro;Yes;Yes;Yes;Yes;Yes;Yes;Active Directory (LDAP), CLRTXT, CRAM-MD5, DIGEST-MD5, APOP, GSSAPI, NTLM, MSN, SESSIONID, External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL;
Courier Mail Server;Yes;Yes;Yes;Yes;Yes;Yes;Managed by Courier authentication library which can use PAM, Userdb, PostgreSQL(beta), MySQL, LDAP, and EXTERNAL.;
Cyrus IMAP;No;Yes;Yes;Yes;Yes;Yes;Supports X.509 PKI auth via STARTTLS and EXTERNAL. Uses Cyrus SASL authentication library for support for other mechanisms: Berkeley DB, GDBM, or NDBM (sasldb), PAM, MySQL, PostgreSQL, SQLite, LDAP, Active Directory(LDAP), DCE, Kerberos 4 and 5, proxied IMAP auth, getpwent, shadow, SIA, Courier Authdaemon, httpform, APOP and SASL mechanisms: ANONYMOUS, CRAM-MD5, DIGEST-MD5, EXTERNAL, GSSAPI, LOGIN, NTLM, OTP, PASSDSS, PLAIN, SRP;
Dovecot;No;Yes;Yes;Yes;Yes;Yes;Not an SMTP server, but offers SASL to MTAs.[23][24] POP-before-SMTP via DRAC plugin. PAM, MySQL, PostgreSQL, SQLite, LDAP, Active Directory(LDAP), Kerberos 5, proxied IMAP auth, getpwent, shadow, SIA, BSDauth, Vpopmail. APOP and SASL mechanisms: ANONYMOUS, PLAIN, LOGIN, CRAM-MD5, DIGEST-MD5, SCRAM-SHA1, EXTERNAL, GSSAPI, NTLM, OTP, SKEY, RPA.;
Eudora Internet Mail Server;Yes;No;Yes;Yes;No;No;CRAM-MD5, DIGEST-MD5, PLAIN, LOGIN;
Exim;Yes;Yes;Yes;Yes;Yes;Yes;Cyrus SASL, Dovecot SASL, GNU SASL, CRAM-MD5, Heimdal GSSAPI, PLAIN, LOGIN, SPA;
FirstClass;Yes;?;?;Yes;Yes;Yes;;
Gordano Messaging Suite;Yes;Yes;Yes;No;Yes;Yes;PLAIN, LOGIN, CRAM-MD5, DIGEST-MD5, APOP, ODBC, Active Directory, NT Domain;
GroupWise;Yes;Yes;Yes;Yes;Yes;Yes;eDirectory, Any LDAPv3-compliant source;
Halon;Yes;No;No;Yes;Yes;Yes;Many mechanism (SMTP callout, Dovecot SASL, REST, etc.) via script.[25];
Haraka;Yes;No;No;Yes;Yes;Yes;Proxy to other server, any other mechanism via AUTH plugins.;
IceWarp Mail Server;Yes;Yes;Yes;Yes;Yes;Yes;PLAIN, LOGIN, CRAM-MD5, NTLM;
Ipswitch IMail Server;Yes;No;Yes;Yes;Yes;Yes;Active Directory, Windows authentication, CRAM-MD5, PLAIN, LOGIN;
Kolab;Yes;Yes;Yes;Yes;Yes;Yes;Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via STARTTLS and EXTERNAL.;
Mailsite;Yes;No;Yes;Yes;Yes;Yes;NT Domain, Active Directory, PLAIN, LOGIN, NTLM, SCRAM-MD5, CRAM-MD5;
Mailtraq;Yes;Yes;Yes;Yes;Yes;Yes;NT Domain, Active Directory, Local Directory;
Mercury Mail Transport System;Yes;Yes;Yes;Yes;No;?;Internal, LOGIN, PLAIN, CRAM-MD5, Netware, LDAP?, partial NT Domain;
Microsoft Exchange Server;Yes;?;Yes;No;No;Yes;Active Directory, LOGIN,[26] NTLM;
NetMail;Yes;Yes;Yes;Yes;Yes;Yes;eDirectory, LDAP;
Oracle Communications Messaging Server;Yes;Yes;Yes;Yes;Yes;Yes;Plain, Login, CRAM-MD5, Digest-MD5, Certificate;
OpenSMTPD;Yes;No;No;Yes;Yes;Yes;By default PLAIN and LOGIN over SSL only, Certificates, bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends.;
Postfix;Yes;No;No;Yes;Yes;Yes;Supports all Cyrus SASL authentication methods except for APOP.;
Qpopper;No;Yes;Yes;Yes;Yes;Yes;Pluggable Authentication Modules, GSSAPI, CRAM-MD5, DIGEST-MD5, APOP, PLAIN, LDAP, CMU SASL library, Kerberos;
qmail;with patch;with vpopmail;Yes;Yes;Yes;Yes;Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM, LDAP, and databases.;
Scalix;Yes;?;Yes;Yes;Yes;Yes;Internal, LOGIN, PLAIN, X.500 (DAP), LDAP, OpenLDAP, Active Directory, eDirectory, Kerberos, etc.;
Sendmail;Yes;Yes;No;Yes;Yes;Yes;Supports all Cyrus SASL authentication methods except for APOP. Also supports X.509 PKI auth via STARTTLS and EXTERNAL.;
WinGate;Yes;Yes;Yes;Yes;Yes;No;NT Domain, Active Directory, CRAM-MD5, SASL PLAIN, SASL LOGIN;
Zarafa;Yes;No;No;Yes;Yes;Yes;PLAIN, LOGIN using internal backends: Internal, Active Directory, any LDAP-compatible source, Unix;
Zentyal;Yes;Yes;Yes;Yes;Yes;Yes;Active Directory using Dovecot SASL mechanisms;
Zimbra;Yes;No;Yes;Yes;Yes;Yes;Internal, LDAP, Open LDAP, Active Directory;
Mail server;SMTP AUTH;POP before SMTP;APOP;Filesystem;Database;LDAP;Other;
