Software;Platform;License;Latest version;Last release year;Size (MB)[a];Description;Number[b];Supported metadata standards[c];Supported file formats[d];
EXIF;GPS;IPTC;XMP;Maker;Other;JPEG;TIFF;Raw;Other;
A Photo Manager[3][4];Android;GPLv3;0.6.3.180211 (35);2018;1.3;Show/Edit GPS infos of local photos through a map.;?;REW;REW;R;REW;R;R;Yes;?;?;?;
Auto ISO Tool[5];Windows;Freeware;?;2007;0.2;GUI for ExifTool to patch Canon ISO information.;2;W;-;R;-;R;-;Yes;-;-;-;
AvPicFaceXmpTagger[6];Linux, Windows;Freeware;1.7;2010;3.7;Write Picasa face recognition information as XMP to your images.;?;-;-;-;RW;-;-;Yes;-;-;-;
Daminion[7];Windows;Proprietary;Unknown, no trials available;2017;41,6;A tool that can update EXIF/IPTC/XMP/ID3/Office metadata in images, video, audio, Office documents, Camera raw images and vector images. Uses ExifTool, a free, open-source tool.;>70;REW;REW;REW;REW;R;REW;Yes;Yes;Yes;Yes;
DBGallery[8];Windows;Proprietary, Trial Available;7.5;2016;63;Image management software which can update IPTC and XMP metadata in images, video, and audio. Uses Adobe's XMP Toolkit to read/write metadata.;32;R;REW;REW;REW;-;-;Yes;Yes;Yes;Yes;
Description Explorer[9];Windows;Freeware;0.5.2;2009;10.7;Collection of tools for XMP metadata.;15;-;-;-;EW;-;-;Yes;-;-;-;
Easy Exif Delete[10];Windows;Freeware;1.2;2010;0.8;Clean any EXIF unwanted data from your digital pictures.;N/A;D;D;-;-;-;-i;Yes;-;-;-;
EXIF-O-Matic[11];Linux, MacOS, Windows;Freeware;1.2;2012;0.2;View EXIF tags.;N/A;R;R;-;-;-;-;Yes;-;-;-;
ExifAuto[12];Windows;Freeware;2.2;2007;0.4;GUI front-end for ExifTool to perform simple operations.;5;EW;-;-;-;-;-;Yes;Yes;-;-;
EXIF Browser[13];Windows;Freeware;0.9.9.16;2007;0.9;Extract EXIF information from image files.;N/A;R;R;-;-;-;-;Yes;Yes;Yes;Yes;
Exif Copier[14];Windows;Freeware;0.9;2010;5.0;Copy metadata between sets of multiple images using ExifTool.;?;W;W;W;W;W;W;Yes;Yes;Yes;Yes;
ExifCleaner[15];Windows;Shareware;1.8;2012;1.2;Lets you to erase/remove photographic metadata.;N/A;D;D;D;D;D;D;Yes;-;-;-;
EXIF Date Changer[16];Windows;Freeware / Shareware;3.55;2017;7;Allows you change the time, date, and other information stored in the metadata of your photos.;7;EW;-;EW;-;-;-;Yes;Yes;Yes;Yes;
ExifDropper[17];Windows;Freeware;0.9;2009;0.1;Graphical front-end for ExifTool with drag-and-drop and command-line parameters.;>200;EW;EW;EW;EW;EW;EW;Yes;Yes;Yes;Yes;
ExifMixer[18];Windows;Freeware;0.50;2008;0.4;GUI extension for the ExifTool with command-line parameters.;>200;EW;EW;EW;EW;EW;EW;Yes;Yes;Yes;Yes;
Exif Pilot[19];Windows;Freeware;4.9.3;2016;2.1;Software for viewing, editing, and creating metadata.;26;REW;REW;REW;R;R;R;Yes;Yes;Yes;Yes;
Exif Stats[20];Windows;Freeware;;2006;2.0;Extract some tags using ExifTool.;N/A;R;R;R;R;R;R;Yes;Yes;Yes;Yes;
Exif Tag Remover[21];Windows;Shareware;5.1;2014;3.5;Allows you to easily delete all metadata tags.;N/A;D;D;D;D;D;D;Yes;Yes;Yes;Yes;
ExifTool[22];Linux, MacOS, Windows;GPLv1;10.13;2018;3.9;Powerful command line utility.;>200;RDEW;RDEW;RDEW;RDEW;RDEW;RDEW;Yes;Yes;Yes;Yes;
ExifTool GUI[23];Windows;Freeware;5.16;2012;1.4;GUI for the ExifTool with some editing features.;64;REW;REW;REW;REW;R;R;Yes;Yes;Yes;Yes;
EXIFutils[24];Linux, MacOS, Windows;Shareware;3.1.4;2011;3.5;Set of command line utilities that extract, add, remove, copy, and replace metadata.;>200;REW;REW;REW;REW;REW;REW;Yes;Yes;Yes;Yes;
ExifyMe[25];Windows;Freeware;1.0;2010;3.3;Restore EXIF metadata from an original image.;?;W;W;-;-;-;-;Yes;Yes;Yes;Yes;
Exiv2[26];Linux, MacOS, Windows;GPL/Proprietary (Dual licensed);0.26;2017;1.6;Command line utility and C++ Library;>200;REW;REW;REW;REW;REW;-;Yes;Yes;Yes;-;
ExposurePlot[27];Windows;Freeware;1.1.6;2015;0.6;Analyze your usage of the focal length of your lenses, ISO, shutter speed and aperture.;N/A;R;-;-;-;-;-;Yes;-;-;-;
Free EXIF Eraser[28];Windows;Freeware;1.1;2011;0,8;Allows you to easily and effectively delete entire EXIF/IPTC/XMP information from image files.;N/A;D;D;D;D;D;D;Yes;-;-;
GeoSetter[29];Windows;Freeware;3.5.0;2018;19;Show and change geo data and other metadata (IPTC/XMP/EXIF) of image files (e.g. images taken by digital cameras). Batch changes possible;?;REW;REW;REW;REW;-;-;Yes;Yes;Yes;Yes;
GUI2[30];Windows;Freeware;1.3;2010;15.7;GUI extension for the ExifTool.;12;R;REW;R;R;R;R;Yes;Yes;Yes;Yes;
