Client;First public release;First stable release;Latest stable release;
Date;Version;Date;Version;
AndroidChat;2008;;;;2008-12-29 (December 29, 2008; 9 years ago (2008-12-29)) [±];
Colloquy (software);January 28, 2009;1.0;;;2.4.3 (6011) (March 22, 2014; 4 years ago (2014-03-22)) [±];
fIRC;December 22, 2008;0.1.0;;;0.2.11 (March 26, 2009; 9 years ago (2009-03-26)) [±];
jmIrc;May 14, 2004;0.60;;;0.96 (November 23, 2009; 9 years ago (2009-11-23)) [±];
k-IRC;August 20, 2002;1.0;;;1.1 (October 4, 2003; 15 years ago (2003-10-04)) [±];
Virca;2003;0.0.1;;;1.1.20 (November 22, 2004; 14 years ago (2004-11-22)) [±];
wIRC;;;;;0.3.2 (September 6, 2010; 8 years ago (2010-09-06)[3]) [±];
WLIrc;September 15, 2003;0.90;;;2.0.1 (August 16, 2007; 11 years ago (2007-08-16)) [±];
Yaaic;March 14, 2010;0.1;;;0.9 (July 17, 2011; 7 years ago (2011-07-17)) [±];
Simple IRC;November 18, 2016;1.0;;;1.7 (December 23, 2016; 22 months ago (2016-12-23)) [±];
zsIRC;June 13, 2006;;;;2009.12.26 (December 26, 2009; 8 years ago (2009-12-26)[4]) [±];
Client;Date;Version;Date;Version;Latest stable release;
First public release;First stable release;
