Client;CTCP;DCC;IPv6;SSL;TLS;OCSP;CRL;
AndroidChat;No;No;No;No;No;No;No;
Mobile Colloquy;Yes[citation needed];No[citation needed];Yes[citation needed];Yes[citation needed];Yes[citation needed];No[citation needed];No[citation needed];
fIRC;?;?;?;?;?;?;?;
jmIrc;Yes;No;No;No;No;No;No;
k-IRC;Yes;No;No;No;No;No;No;
Virca;?;?;?;?;?;?;?;
wIRC;Yes;Yes;No;Yes;Yes;?;?;
WLIrc;Yes;Yes;?;No;No;No;?;
Yaaic;No[5];?;?;Yes;Yes;?;?;
Simple IRC;Yes;Yes;?;Yes;Yes;?;?;
zsIRC;Yes;No;No;Yes;Yes;No;No;
Client;CTCP;DCC;IPv6;SSL;TLS;OCSP;CRL;
