Client;Multi-server;UTF-8;Proxy server;irc:// URI scheme;Automatic updates;Scripting language;Push notifications;
AndroidChat;?;?;?;?;?;?;?;
Mobile Colloquy;Yes;Yes;No;Yes;Yes;No;Yes;
fIRC;?;?;?;?;?;?;?;
jmIrc;No;Yes;Yes;No;No;Yes;?;
k-IRC;No;No;No;No;No;No;?;
Virca;?;Yes;?;?;No;?;?;
wIRC;?;?;Yes;?;?;?;?;
WLIrc;?;No;?;?;No;?;?;
Yaaic;Yes;Yes;No;No;Yes;No;?;
Simple IRC;Yes;Yes;No;No;No;No;Yes;
zsIRC;Yes;Yes;No;No;Yes;No;?;
Client;Multi-server;UTF-8;Proxy server;irc:// URI scheme;Automatic updates;Scripting language;Push notifications;
