;Language;License;Mutual auth;Encrypts;Verify mode;Agent-less;Have a GUI;First release;Latest stable release;
Ansible;Python;GPLv3+;Yes[1];Yes[2];Yes;Yes;Yes[3];2012-03-08;2018-01-31 2.4.3.0[4][5];
Bcfg2;Python;BSD 2-clause[6];Yes[7];Yes[8];Yes[9];No;Yes[10];2004-08-11[11];2015-06-11 1.3.6[11];
Capistrano;Ruby;MIT License;;Yes[2];;Yes[2];No;2005;2017-03-08 4.4.2;
cdist;Python;GPLv3+;Yes[1];Yes[2];;Yes;;2010;2018-04-20 4.8.4[12];
Chef;Ruby, Erlang;Apache 2.0;Yes[13];Yes[14];Yes[15][16];No;Yes;2009-01-15 0.5.0;2018-09-25 14.5.33 (client),[17] 2018-02-13 12.17.33 (server)[18];
CFEngine;C[19];GPLv3[20];Yes[1];Yes[21];Yes[22][23];No;;1993;2018-11-23 3.13.0[24], 2018-11-30 3.12.1[25], 2018-11-16 3.10.5[26];
ISconf;Python;GPL[27];Yes[28];No[29];;;;1998;2006-08-13 4.2.8.233;
Juju;Python, Go[30];Affero General Public License;Yes[1];Yes[8];No;No;Yes[31];2010-09-17[32];2017-03-16 1.2.1[33];
Local ConFiGuration system (LCFG);Perl;GPL;Partial[34];Partial[35];;;;1994;Weekly Releases;
NOC;Python;BSD License 2.0;Yes[1];Yes[2];Yes;Yes;Yes;2012-03-08;2015-05-20 15.05.1[36];
OCS Inventory NG with GLPI;Perl, PHP, C++;GPL;No[37];Yes[8];;No;;2003;2014-07-13[38];
Open pc server integration (Opsi);Python, Java;GPL;No;Yes[8];;No;;2004;2013-03-01 4.0.3;
PIKT;C;GPLv2+[39];Yes[40];Yes[41];;No;;1998[42];2007-09-10 1.19.0;
Puppet;C++ & Clojure from 4.0,[43] Ruby before then;Apache from 2.7.0, GPL before then;Yes[44];Yes[8];Yes[45][46];No;Yes[47];2005-08-30[48];2017-05-11 4.10.1[49];
Quattor;Perl, Python;Apache 2.0[50][51];Yes[52];Yes[53];;;;2005-04-01[54];2017-10-31 17.8.0[55];
Radmind;C;BSD[56];Yes[57];Yes[58];;No;;2002-03-26[59];2008-10-08 1.13.0[60];
Rex;Perl;Apache;Yes[1];Yes[2];;Yes;;2010-11-05 0.9.0[61];2017-12-03 1.6.0[62];
Rudder;C and Scala;GPLv3 and Apache 2.0[63];Yes[1];Yes[8];Yes[64][65];No;Yes;2011-10-31;2018-04-19 4.3.0[66];
SmartFrog;Java;LGPL;Yes[67];Yes[67];;No;;2004-02-11;2009-01-26 3.16.004[68][69];
Salt[70];Python[71];Apache 2.0[72];Yes[73];Yes[73];Yes;Both[74][75];Yes[76][77];2011-03-17 0.6.0[78];2017-09-25 v2018.3.3[79];
Spacewalk;Java (C, Perl, Python, PL/SQL);GPLv2;Yes;Yes;;No;;2008-06[80];2018-04-19 2.8[81];
STAF;C++;CPL[82];No[83][84];Partial[85];;No;;1998-02-16[86];2012-12-16 3.4.16 [87];
Synctool[88];Python[89];GPLv2[90];Yes[91];Yes[2];Yes[92];Yes[93];;2003[94];2014-06-15 6.1[95];
;Language;License;Mutual auth;Encrypts;Verify mode;Agent-less;Have a GUI;First release;Latest stable release;
