Feature;AROS;FreeBSD;Linux-based;HP-UX;OpenVMS;macOS;Solaris;Windows (cmd);Windows (PowerShell);
List directory;list, dir;ls;ls;ls;dir;ls;ls;dir;Get-ChildItem;
Clear console;clear;clear;clear;clear;?;clear;clear;cls;Clear-Host;
Copy file(s);copy;cp;cp;cp;copy;cp;cp;copy;Copy-Item;
Move file(s);move;mv;mv;mv;?;mv;mv;move;Move-Item;
Rename file(s);rename;mv;mv, rename;mv;ren;mv;mv;ren (rename);Rename-Item;
Delete file(s);delete;rm;rm;rm;del;rm;rm;del (erase);Remove-Item;
Delete directory;delete;rmdir;rmdir;rmdir;del;rmdir;rmdir;rd (rmdir);Remove-Item;
Create directory;makedir;mkdir;mkdir;mkdir;create/dir;mkdir;mkdir;md (mkdir);New-Item;
Change current directory;cd [c 1];cd;cd;cd;set def;cd;cd;cd (chdir);Set-Location;
Run shell script with new shell;shell file.shell;sh file.sh;sh file.sh;sh file.sh;@ file.com;sh file.sh;sh file.sh;cmd /c file.cmd;powershell file.ps1;
Kill processes;?;kill, killall;killall, pkill, kill, skill;kill;stop;kill, killall;kill, pkill;taskkill;Stop-Process;
Change process priority;changetaskpri;nice;nice, chrt;nice;set proc/prio;nice;nice;start /low, start /normal, start /high, start /realtime;Start-Process, wmic;
Change I/O priority;?;[c 2];ionice;?;set proc/prio;nice[c 3];?;?;?;
Create file system;format;newfs;mkfs;newfs;init;mkfs;newfs, zpool / zfs create;format;Format-Volume;
File system check and recovery;?;fsck;fsck;fsck;analyze/disk;fsck;fsck;chkdsk;Repair-Volume;
Create software raid;?;atacontrol, gmirror, zfs create;mdadm -C;?;?;diskutil appleRAID;metainit, zpool create;diskpart (mirror only);diskpart (mirror only);
Mount device;mount;mount;mount;mount;mount;mount, diskutil mount;mount;mountvol;New-PSDrive;
Unmount device;assign drivename: dismount;umount;umount;umount;dismount;umount, diskutil unmount(disk);umount;mountvol /d;Remove-PSDrive;
Mount file as block device;?;mdconfig + mount;mount -o loop;?;?;hdid;lofiadm + mount;?;?;
Show network configuration;?;ifconfig;ip addr, ifconfig;ifconfig, lanadmin;tcpip sh net (sh net);ifconfig;ifconfig;ipconfig;Get-NetIPInterface, ipconfig;
Show network route;?;netstat -r, route get, route monitor;ip route, route;netstat -r;tcpip sh route;netstat -r, route get, route monitor;netstat -r;route;Get-NetRoute;
Trace network route;?;traceroute;traceroute;traceroute;tcptrace;traceroute;traceroute;tracert;Test-NetConnection;
Trace network route with pings;?;traceroute -I;traceroute -I, mtr;?;tcptrace;traceroute -I;traceroute -I;pathping;pathping;
Feature;AROS;FreeBSD;Linux-based;HP-UX;OpenVMS;macOS;Solaris;Windows (cmd);Windows (PowerShell);
