Name;Lexer algorithm;Output languages;Grammar, code;Development platform;License;
Alex;DFA;Haskell;mixed;all;BSD;
AnnoFlex;DFA;Java;mixed;Java Virtual Machine;BSD;
AustenX;DFA;Java;separate;all;BSD;
C# Flex;DFA;C#;mixed;.NET CLR;GNU GPL;
C# Lex;DFA;C#;mixed;.NET CLR;?;
CookCC;DFA;Java;mixed;Java Virtual Machine;Apache License 2.0;
DFAlex;DFA;no code generation required;Java;Java;Apache License 2.0;
Dolphin;DFA;C++;separate;all;Proprietary;
flex;DFA table driven;C, C++;mixed;all;BSD;
gelex;DFA;Eiffel;mixed;Eiffel;MIT;
golex;DFA;Go;mixed;Go;BSD-style;
gplex;DFA;C#;mixed;.NET CLR;BSD-like;
JFlex;DFA;Java;mixed;Java Virtual Machine;BSD;
JLex;DFA;Java;mixed;Java Virtual Machine;BSD-like;
lex;DFA;C;mixed;POSIX;Proprietary, CDDL;
lexertl;DFA;C++;;all;GNU LGPL;
LRSTAR;DFA;C++;separate;Windows;Proprietary;
Quex;DFA direct code;C, C++;mixed;all;GNU LGPL;
Ragel;DFA;C, C++, Assembly, Objective C, D, Go, Ruby, Java, C#, OCaml, Crack, Rust, Julia;mixed;all;GNU GPL, MIT[1][1][1][1];
re2c;DFA direct code;C;mixed;all;Public domain;
