Name;H.264;ASF;WMV;DivX / Xvid;MPEG-4;AVI;QuickTime;Other formats;
Archos 105;No;No;Yes;No;No;No;No;No;
Archos 405;No[90];No;Yes;No;Yes;Yes;No[90];MPEG-2[90];
Archos 5;No[90];No;Yes;Yes;Yes;Yes;No[90];MPEG-2,[90] MKV;
Archos 605 WiFi / GPS;No[90];No;Yes;Yes;Yes;Yes;No[90];MPEG-2[90];
Archos 705 WiFi;No[90];No;Yes;Yes;Yes;Yes;No[90];MPEG-2[90];
Cowon A3;Yes;Yes;Yes;Yes;Yes;Yes;No;MKV, MTV, OGM, VOB, DAT, AMV, MJPEG, MPEG-1;
Cowon D2;No;No;Yes;No[95];No;Yes;No;No;
Cowon Q5W;No;Yes;Yes;Yes;Yes;Yes;No;OGM;
Gigabeat T-Series;No;Yes;Yes;No[96];No[96];No[96];No[96];No;
GP2X F-200;No;No;No[91];Yes;Yes;Yes;No;No;
iPod (before Nano 6G; iPod 6G does);Yes;No;No;with plugin;Yes;with plugin;Yes;No;
iriver clix 2G;No;Yes;Yes;Yes;Yes;Yes;No;No;
PSP Slim & Lite;Yes;No;No;No;Yes;No;No;MJPEG;
Rio PMP300;No;No;No;No;Yes;No;No;No;
Samsung Galaxy Player;Yes;Yes;Yes;Yes;Yes;Yes;No;MKV;
Samsung T10;No;No;Yes;.svi only;Yes;No;No;No;
Samsung P2;No;No;Yes;.svi only;Yes;No;No;No;
Sansa Fuze;No;No;No;No;No;Yes;No;No;
Sansa Fuze+;Yes[97];No;Yes;No;No;No;No;MPEG-4 Part 14;
Walkman NWZ-A810 series;Yes;No;No;No;Yes;No;No;No;
ZEN;No[96];No;Yes;Yes;No[96];Yes;No;MJPEG;
ZEN Vision W;No[96];No;Yes;Yes;No[96];Yes;No;MJPEG;
Zune;Yes;No;Yes;Yes;Yes;Yes;No;DVR-MS[96];
ZVUE 260;No;Yes;Yes;Xvid only;Yes;Yes;No;No;
