Format;Languages;
name[index] or name[index1, index2] etc.;ALGOL 68, AWK, Pascal, Object Pascal, C#, S-Lang[3];
name[index] or name[index1; index2] etc. or index?name or index1 index2?name etc.;APL;
name[index];ActionScript, C, CFML, Ch, Cobra, C++, D, Go, Haxe, Java, JavaScript, Julia, Lingo, Lua, Objective-C (NSArray *), Perl,[3] Python,[3] Ruby,[3] Rust, Swift;
$name[index];Perl,[3] PHP, Windows PowerShell,[3] XPath/XQuery[2];
@name[index];Perl 6;
name(index);Ada, BASIC, COBOL, Fortran, RPG, GNU Octave, MATLAB, Scala, Visual Basic, Visual Basic .NET, Xojo;
$name(index);XPath/XQuery[2];
name.(index);OCaml;
name.[index];F#;
name ! index;Haskell;
$name ? index;XPath/XQuery[2];
(vector-ref name index);Scheme;
(aref name index);Common Lisp;
(elt name index);ISLISP;
name[[index]];Mathematica,[3] Wolfram Language;
name at:index;Smalltalk;
[name objectAtIndex:index];Objective-C (NSArray * only);
index{name;J;
name.item(index) or name @ index[4];Eiffel;
