;Argument values;Argument counts;Program name / Script name;
Ada[1];Argument (n);Argument_Count;Command_Name;
C (C99);argv[n];argc;first argument;
Objective-C;
C++;
C#;args[n];args.Length;Assembly.GetEntryAssembly().Location;;
Java;args.length;;
D;first argument;
JavaScript Windows Script Host implementation;WScript.Arguments(n);WScript.Arguments.length;WScript.ScriptName or WScript.ScriptFullName;
Go;os.Args[n];len(os.Args);first argument;
Swift;Process.arguments[n] or Process.unsafeArgv[n];Process.arguments.count or Process.argc;first argument;
Common Lisp;?;?;?;
Scheme (R6RS);(list-ref (command-line) n);(length (command-line));first argument;
ISLISP;N/A;N/A;N/A;
Pascal;ParamStr(n);ParamCount;first argument;
Visual Basic;Command[a];N/A;App.Path;
Visual Basic .NET;CmdArgs(n);CmdArgs.Length;[Assembly].GetEntryAssembly().Location;
Xojo;System.CommandLine;(string parsing);Application.ExecutableFile.Name;
Python;sys.argv[n];len(sys.argv);first argument;
S-Lang;__argv[n];__argc;first argument;
Fortran;DO i = 1,argc CALL GET_COMMAND_ARGUMENT (i,argv(i)) ENDDO;argc = COMMAND_ARGUMENT_COUNT ();CALL GET_COMMAND_ARGUMENT (0,progname);
PHP;$argv[n];$argc;first argument;
Bash shell;$n ($1, $2, $3, ...) $@ (all arguments);$#;$0;
Perl;$ARGV[n];scalar(@ARGV);$0;
Perl 6;@*ARGS[n];@*ARGS.elems;$PROGRAM_NAME;
Ruby;ARGV[n];ARGV.size;$0;
Windows PowerShell;$args[n];$args.Length;$MyInvocation.MyCommand.Name;
OCaml;Sys.argv.(n);Array.length Sys.argv;first argument;
F#;args.[n];args.Length;Assembly.GetEntryAssembly().Location;
Standard ML;List.nth (CommandLine.arguments (), n);length (CommandLine.arguments ());CommandLine.name ();
Haskell (GHC);do { args <- System.getArgs; return length args !! n};do { args <- System.getArgs; return length args};System.getProgName;
COBOL;[b];N/A;
