;object member;class member;namespace member;
;method;field;property;
ABAP Objects;x->method(«parameters»).[39];x->field;N/A;x=>field or x=>method(«parameters[39]»).;N/A;
C++ (STL);x.method(parameters) or ptr->method(parameters);x.field or ptr->field;;cls::member;ns::member;
Objective-C;[x method«:parameter «bar:parameter ...»»];x->field;x.property (2.0 only) or [x property];[cls method«:parameter «bar:parameter ...»»];;
Smalltalk;x method«:parameter «bar:parameter ...»»;N/A;;cls method«:parameter «bar:parameter ...»»;;
Swift;x.method(parameters);;x.property;cls.member;;
C#;x.method(parameters);x.field;x.property;cls.member;ns.member;
Java;N/A;
D;x.property;
Python;
Visual Basic .NET;
Xojo;
Windows PowerShell;[cls]::member;
F#;N/A;cls.member;
eC;x.method«(parameters)»;x.field;x.property;cls::member;ns::member;
Eiffel;x.method«(parameters)»;x.field;;{cls}.member;N/A;
Ruby;N/A;x.property;cls.member;
PHP;x->method(parameters);x->field;x->property;cls::member;ns\member;
Perl;x->method«(parameters)»;x->{field};;cls->method«(parameters)»;ns::member;
Perl 6;x.method«(parameters)» or x!method«(parameters)»;x.field or x!field;;cls.method«(parameters)» or cls!method«(parameters)»;ns::member;
OCaml;x#method «parameters»;N/A;;;
JavaScript;x.method(parameters) x["method"](parameters);x.field x["field"];x.property x["property"];N/A;N/A;
COBOL;INVOKE x "method" «USING parameters» «RETURNING result» or x::"method"«(«parameters»)»;N/A;property OF x;INVOKE cls "method" «USING parameters» «RETURNING result» or cls::"method"«(«parameters»)» or property OF cls;N/A;
Cobra;x.method«(parameters)»;x.field;x.property;cls.member;ns.member;
