;current object;current object's parent object;null reference;Current Context of Execution;
Smalltalk;self;super;nil;thisContext;
ABAP Objects;me;super;initial;;
C++ (STL);*this;[40];NULL, nullptr;;
C#;this;base[41];null;;
Java;super[41];;
D;;
JavaScript;super[41] (ECMAScript 6);null, undefined[42];;
eC;this;;null;;
Objective-C;self;super[41];nil;;
Swift;self;super[41];nil[43];;
Python;self[44];super(current_class_name, self)[5] super() (3.x only);None;;
Visual Basic .NET;Me;MyBase;Nothing;;
Xojo;Me / Self;Parent;Nil;;
Eiffel;Current;Precursor «{superclass}» «(args)»[41][45];Void;;
PHP;$this;parent[41];null;;
Perl;$self[44];$self->SUPER[41];undef;;
Perl 6;self;SUPER;Nil;;
Ruby;self;super«(args)»[46];nil;binding;
Windows PowerShell;$this;;$NULL;;
OCaml;self[47];super[48];N/A[49];;
F#;this;base[41];null;;
COBOL;SELF;SUPER;NULL;;
Cobra;this;base;nil;;
