Format;Languages;
string (string'First .. string'First + n - 1);Ada;
substr(string, 0, n);AWK (changes string), Perl 5, Perl 6, PHP;
LEFT$(string,n);BASIC, VB;
left(string,n);VB, FreeBASIC, Ingres, Pick Basic;
strncpy(string2, string, n);C standard library;
string.substr(0,n);C++ (STL), Perl 6;
[string substringToIndex:n];Objective-C (NSString * only);
(apply str (take n string));Clojure;
string[0 .. n];D[14];
string:substr(string, start, length);Erlang;
(subseq string 0 n);Common Lisp;
string[:n];Cobra, Go, Python;
left(string,n «,padchar»);Rexx, Erlang;
string[0, n] string[0..n - 1];Ruby;
string[1, n];Pick Basic;
string[ .. n];Seed7;
string.Substring(0,n);VB .NET, C#, Windows PowerShell, F#;
leftstr(string, n);Pascal, Object Pascal (Delphi);
copy (string,1,n);Turbo Pascal;
string.substring(0,n);Java,[15] JavaScript;
(string-take string n);Scheme (SRFI 13);
take n string;Haskell;
String.extract (string, n, NONE);Standard ML;
String.sub string 0 n;OCaml[16];
string.[..n];F#;
string.sub(string, 1, n) (string):sub(1, n);Lua;
string first: n;Smalltalk (Squeak, Pharo);
string(:n);Fortran;
StringTake[string, n];Mathematica[17];
string («FUNCTION» LENGTH(string) - n:n);COBOL;
string.substring(0, n);Cobra;
n?string.;APL;
