Format;Returns;Languages;
string'Length;;Ada;
UPB string;;ALGOL 68;
length(string);;Ingres, Perl 5, Pascal, Object Pascal (Delphi), Rexx, Seed7, SQL, PL/I;
len(string);;BASIC, FreeBASIC, Python, Go, Pick Basic;
length(string), string:len(string);;Erlang;
Len(string);;VB, Pick Basic;
string.Length;Number of 16-bit UTF-16-encoded blocks;VB .NET, C#, Windows PowerShell, F#;
chars(string) string.chars;Number of graphemes (NFG);Perl 6;
codes(string) string.codes;Number of Unicode code points;Perl 6;
string.size OR string.length;Number of bytes[18];Ruby;
strlen(string);Number of bytes;C, PHP;
string.length();;C++ (STL);
string.length;;Cobra, D, JavaScript;
string.length();Number of 16-bit UTF-16-encoded blocks;Java;
(string-length string);;Scheme;
(length string);;Common Lisp, ISLISP;
(count string);;Clojure;
String.length string;;OCaml;
size string;;Standard ML;
length string;Number of Unicode codepoints;Haskell;
string.length;Number of 16-bit UTF-16-encoded blocks;Objective-C (NSString * only);
string.characters.count;Number of characters;Swift (2.x);
count(string);Number of characters;Swift (1.2);
countElements(string);Number of characters;Swift (1.0–1.1);
string.len(string) (string):len() #string;;Lua;
string size;;Smalltalk;
LEN(string), or LEN_TRIM(string);;Fortran;
StringLength[string];;Mathematica;
Length(string) or Size(string);number of bytes as $int+;Ya;
«FUNCTION» LENGTH(string) or «FUNCTION» BYTE-LENGTH(string);number of characters and number of bytes, respectively;COBOL;
string length string;a decimal string giving the number of characters;Tcl;
? string;APL;;
