Language;Statement separator-terminator;Secondary separator[1];
ABAP;period separated;
Ada;semicolon terminated;
ALGOL;semicolon separated;
ALGOL 68;semicolon and comma separated[2];
APL;newline terminated;? separated;
AppleScript;newline terminated;
AutoHotkey;newline terminated;
BASIC;newline terminated;colon separated;
Boo;newline terminated;
C;semicolon terminates statements;comma separates expressions;
C++;semicolon terminates statements;comma separates expressions;
C#;semicolon terminated;
COBOL;whitespace separated, sometimes period separated, optionally separated with commas and semi-colons.;;
Cobra;newline terminated;
CoffeeScript;newline terminated;
D;semicolon terminated;
Eiffel;newline terminated;semicolon;
Erlang;colon separated, period terminated;
F#;newline terminated;semicolon;
Fortran;newline terminated;semicolon;
Forth;semicolons terminate word definitions;
GFA BASIC;newline terminated;
Go;semicolon separated (inserted by compiler);
Haskell (in do-notation);newline separated;
Haskell (in do-notation, when braces are used);semicolon separated;
Java;semicolon terminated;
JavaScript;semicolon separated (but sometimes implicitly inserted on newlines);
Kotlin;semicolon separated (but sometimes implicitly inserted on newlines);
Lua;whitespace separated (semicolon optional);
Mathematica;semicolon separated;
MATLAB;newline terminated;semicolon or comma[3];
Object Pascal (Delphi);semicolon separated;
Objective-C;semicolon terminated;
OCaml;semicolon separated;
Pascal;semicolon separated;
Perl;semicolon separated;
Perl 6;semicolon separated;
PHP;semicolon terminated;
Pick Basic;newline terminated;semicolon separated;
PowerShell;newline terminated;semicolon separated;
Prolog;period terminated;
Python;newline terminated;semicolon;
Ruby;newline terminated;semicolon;
Rust;semicolon terminates statements;comma separates expressions;
Scala;newline terminated (semicolon optional);semicolon;
Seed7;semicolon separated (semicolon termination is allowed);
Simula;semicolon separated;
S-Lang;semicolon separated;
Smalltalk;period separated;
Standard ML;semicolon separated;
Swift;semicolon separated (inserted by compiler);
Visual Basic;newline terminated;colon separated;
Visual Basic .NET;newline terminated;colon separated;
Wolfram Language;semicolon separated;
Xojo;newline terminated;
Language;Statement separator-terminator;Secondary separator[1];
