Software;Budget Management;Time Tracking;Invoicing;
2-plan;No;No;No;
24SevenOffice;Yes;Yes;Yes;
Actionspace;No;Yes;No;
AnyChart (AnyGantt);No;Yes;No;
Apache Allura;No;No;No;
Apache OFBiz;Yes;Yes;Yes;
Apache Bloodhound;No;No;No;
Asana;No;Yes;No;
Assembla;No;Yes;No;
Axosoft;No;Yes;No;
Basecamp;No;No;No;
Calligra Plan;No;No;No;
CEITON;Yes;Yes;Yes;
Clarizen;Yes;Yes;No;
Collabtive;No;Yes;No;
Compuware Changepoint;No;Yes;No;
ConceptDraw Project;Yes [35];Yes [36];No;
Concerto Project Management;Yes;Yes;Yes;
Copper Project;Yes;Yes;Yes;
dotProject;No;No;No;
DynaRoad;Yes;Yes;No;
Easy projects;Yes;Yes;Yes;
Eclipse PPM software;No;No;No;
eGroupWare;No;Yes;No;
enQuire;Yes;Yes;Yes;
FastTrack Schedule;No;No;No;
Feng Office Community Edition;No;Yes;Yes;
FinancialForce.com;No;Yes;Yes;
FogBugz;No;Yes;No;
FusionForge;No;Yes;No;
GanttProject;No;No;No;
Genius Project;Yes;Yes;Yes;
GroveSite;No;No;No;
Hall.com;No;No;No;
Helix ALM;No;Yes;No;
HeySpace;No;No;No;
HP Project & Portfolio Software;No;No;No;
Huddle;No;No;No;
Hyperoffice;No;Yes;No;
iManageProject;No;Yes[37];No;
InLoox;Yes[38];Yes[38];Yes[38];
in-Step BLUE;Yes;Yes;No;
Jira;No;Yes;No;
Launchpad;No;No;No;
LibrePlan;No;Yes;No;
LiquidPlanner;No;Yes;No;
LisaProject;No;No;No;
MacProject;No;No;No;
MantisBT;No;Yes[39];No;
Métier;Yes;Yes;Yes;
Microsoft Dynamics AX;Yes;Yes;Yes;
Microsoft Office Project Server;Yes;Yes;No;
Microsoft Project;Yes;Yes;No;
Microsoft SharePoint Server;No;No;No;
Microsoft Team Foundation Server;No;No;No;
Milestones Professional;No;No;No;
MyWorkPLAN;Yes;No;No;
NetPoint;No;No;No;
NetSuite;Yes;Yes;No;
O3Spaces;No;No;No;
OmniPlan;No;No;No;
OnePager Pro;No;No;No;
Open Workbench;No;No;No;
OpenProj;No;No;No;
OpenProject;Yes;Yes;No;
Oracle Primavera EPPM (Primavera P6);Yes;Yes;No;
phpGroupWare;No;No;No;
PHProjekt;No;Yes[40];No;
Pivotal Tracker;No;No;No;
Plandora;Yes;Yes;No;
Planisware;Yes;Yes;Yes;
PLANTA Project;Yes;Yes;No;
Project KickStart;No;No;No;
Project Team Builder;No;No;No;
ProjectLibre;Yes[41];Yes[42];No;
ProjectManager.com;Yes[43];Yes[44];No;
Project.net;No;Yes[45];Yes;
Projectplace;No;No;No;
Projektron BCS;Yes;Yes;Yes;
ProjeQtOr;Yes;Yes;Yes;
Proliance;No;No;No;
Prolog;Yes;Yes;Yes;
Pyrus;Yes;Yes;Yes;
RationalPlan;Yes;Yes;Yes;
Realisor;No;No;No;
Redbooth;No;Yes;No;
Redmine;No;Yes;No;
Rillsoft Project & Integration Server;Yes;Yes;No;
SAP Business ByDesign;Yes;Yes;Yes;
Sciforma;Yes;Yes[46];No;
Scoro;Yes;Yes;Yes;
Severa;No;Yes;No;
Smartsheet;No;No;No;
Streamtime Software;Yes;Yes;Yes;
Spider Project;Yes;Yes;Yes;
TACTIC;No;No;No;
Talygen;No;Yes;Yes;
TaskJuggler;No;No;No;
Teamcenter;Yes;Yes;No;
TeamDynamixHE;Yes;Yes;No;
TeamLab;No;No;No;
Teamwork.com;No;Yes;Yes;
The Bug Genie;No;Yes;No;
Tom's Planner;No;No;No;
Trac;No;No;No;
TrackerSuite.Net;No;Yes;No;
Traction TeamPage;No;Yes;No;
Trello;No;No;No;
Triskell;Yes;Yes;Yes;
Tuleap;No;No;No;
Twproject;Yes[47];Yes;No;
UniPhi;Yes;Yes;Yes;
VPMi;Yes;Yes;No;
web2project;No;No[48];No;
Workamajig;Yes;Yes;No;
Workfront;Yes;Yes;No;
WorkPLAN Enterprise;No;Yes;No;
workspace.com;No;Yes;No;
Wrike;No;Yes;No;
Zoho Projects;Yes[49];Yes[49];Yes[49];
