;RAW imports;BMP;GIF;JPEG;JPEG 2000;HD Photo;PNG;TIFF;PSD;PSP;XCF;PCX;ORA;HEIF;
Ability Photopaint;?;Yes;Yes;Yes;No;;Yes;Yes;Yes;No;No;?;;;
ACD Canvas;?;Yes;Yes;Yes;No;;Yes;Yes;Yes;Yes;No;?;;;
ACDSee (Win);Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;?;?;?;;
Acorn Image Editor;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;?;?;?;;;
Adobe Fireworks*;?;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;No;;
Adobe Photoshop;Yes;Yes;Yes;Yes;Via plug-in[29];Yes;Yes;Yes;Yes;No;No;Yes;;;
Adobe Photoshop Lightroom;Yes;No;Via plug-in[30];Yes;Via plug-in[31];No;Via plug-in[30];Yes;Partial[32];?;?;?;;;
Affinity Photo;Yes;?;Yes;Yes;No;?;Yes;Yes;Yes;No;No;No;No;;
Autodesk SketchBook Pro;?;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;No;No;;;
Artipic;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Partial;No;No;Yes;;;
ArtRage;?;Yes;Yes;Yes;No;;Yes;Yes;Yes;No;No;?;;;
Artweaver;No;Yes;Yes;Yes;Partial;;Yes;Yes;Partial;No;No;Yes;;;
Bibble*;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;;;
Brush Strokes Image Editor;?;Yes;Yes;Yes;No;;Yes;Yes;No;No;No;?;;;
Capture One;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;?;?;?;;;
Chasys Draw IES;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;
CinePaint;Yes;Yes;Yes;Yes;No;;Yes;Yes;Partial;No;Yes;?;;;
CodedColor PhotoStudio Pro;?;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;No;Yes;;;
Corel PaintShop Pro;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Partial[33];Yes;No;Yes;;;
