Software;Word for Windows;Word for Mac;Pages;Apache OpenOffice / LibreOffice;Kile/LyX;Google Docs;RTF scan[30];Other;
Aigaion;No;No;No;No;No;No;No;none;
Bebop;No;No;No;No;No;No;No;none;
BibBase;No;No;No;No;No;No;No;none;
BibDesk;No;No;No;No;Yes;?;?;?;
Biblioscape;Yes;No;No;No;No;No;?;WordPerfect;
BibSonomy;No;No;No;No;No;No;No;none;
Bibus;Yes;?;?;Yes;No;No;?;none;
Bookends;Yes;Yes;Yes;Yes;No;No;Yes;Mellel, Nisus;
Citavi;Yes;No;No;Only versions prior to 6.0;Yes[31];No;Only versions prior to 6.0;LaTeX editors LEd, Texmaker, TeXnicCenter, TeXstudio, TeXworks, WinEdt, WinShell;
CiteULike;No;No;No;No;No;No;No;none;
colwiz;Yes;?;?;Yes;No;No;?;NeoOffice, Star Office;
EndNote;Yes;Yes;Yes;No[32];No;No;Yes;No;
F1000Workspace;Yes;Yes;No;No;No;Yes;No;Manuscripts App;
JabRef;Yes[33];?;?;Yes[34];Yes;No;?;Emacs, Texmaker, TeXstudio, Vim, WinEdt;
KBibTeX;No;?;?;No;Yes;No;?;none;
Mendeley;Yes;Partial[35];No;Yes;No;No;?;NeoOffice;
Paperpile;No;No;No;No;No;Yes;No;No;
Papers;Yes;Yes;Only versions prior to 5.0;Yes;?;No;?;Mellel, TextEdit; HTML;
Pybliographer;No;?;?;Yes;Yes;No;?;none;
Qiqqa;Yes;?;?;No;Yes;No;No;none;
ReadCube;Yes;?;?;No;No;No;No;none;
refbase;No;?;?;Yes[36];No;No;Yes;PIRA, MediaWiki, SPIP;
RefDB;No;?;?;No;No;No;No;none;
Reference Manager;Yes;No;No;No;No;No;Yes;none;
Referencer;?;?;?;?;?;?;?;?;
RefWorks;Yes;Yes;No;No;No;Yes;Yes;none;
SciRef;Yes;?;?;No;No;No;No;none;
Sente;Yes;?;Only versions prior to 5.0;No;No;No;Yes;Mellel, Nisus, TextEdit; HTML and plain text scan;
Wikindx;No;?;?;No;No;No;Yes;Integrated WYSIWYG word processor (RTF output for Word/OpenOffice);
WizFolio;Yes;?;?;Yes;No;Yes;?;Zoho Writer;
Zotero;Yes;Yes;No;Yes;(with LyZ)[37];Yes;Yes;NeoOffice;
