Software;Passworded;Networking;
User-specific permissions[43];Simultaneous write access;
Aigaion;Yes;Yes;Yes;
Bebop;No;N/A;N/A;
BibBase;N/A;N/A;N/A;
BibDesk;Yes;No;No;
Biblioscape;Yes;Yes;Yes;
BibSonomy;Yes;Yes;Yes;
Bibus;?;?;?;
Bookends;?;?;?;
Citavi;Yes[44];Yes;Yes;
CiteULike;Yes;No;Yes;
colwiz;Yes;Yes;Yes;
EndNote;Yes;No[45];No[45];
F1000Workspace;Yes;Yes;Yes;
JabRef;No;No;Partial;
KBibTeX;No;N/A;N/A;
Mendeley;Yes[46];Yes;Yes;
Paperpile;Yes[47];Yes;Yes;
Papers;?;?;?;
Pybliographer;?;?;?;
Qiqqa;Yes;Yes;Yes;
ReadCube;Yes;Yes;No;
refbase;Yes;Yes;Yes;
RefDB;Yes;Yes;Yes;
Reference Manager;Yes;No;Yes;
Referencer;?;?;?;
RefWorks;Yes;?;Yes;
Sente;Yes;Yes;Yes;
Wikindx;Yes;Yes;Yes;
WizFolio;Yes;Yes;Yes;
Zotero;Yes[48];Yes;Yes;
