Language;Official website;Software license;Remarks;
ActionScript 3;ActionScript Technology Center;Free;;
C++11 (C++);C++ standards website;?;Since ISO14822:2011(e);
D;D;Boost Software License[Note 1];;
Go;Golang.org;BSD-style;;
Haskell;Haskell.org;BSD3;Omitted in the language report, and in GHC's Hierarchical Libraries;
Java;Java;GNU General Public License;REs are written as strings in source code: all backslashes must be doubled, harming readability.;
JavaScript (ECMAScript);ECMA-262;BSD3;Limited but REs are first-class citizens of the language with a specific /.../mod syntax.;
Julia;JuliaLang.org;MIT License;REs are part of the language core library using PCRE built-in and an optional wrapper for (C code) ICU is available.;
Lua;Lua.org;MIT License;Uses simplified, limited dialect; can be bound to more powerful library, like PCRE or an alternative parser like LPeg.;
Mathematica;Wolfram;Proprietary;;
.NET;MSDN;MIT License[Note 2][Note 3];;
Nim;nim-lang.org;MIT License;Standard library includes PCRE-based re and nre modules, as well as various alternatives (ex. strutils, pegs (Parsing Expression Grammar matching), strscans, parseutils, etc).;
Free Pascal (Object Pascal);www.freepascal.org;LGPL with static linking exception;Free Pascal 2.6+ ships with TRegExpr from Sorokin and two other regular expression libraries; See wiki.lazarus.freepascal.org/Regexpr.;
OCaml;Caml;LGPL;As of 2010[update], the standard module is generally regarded as deprecated;[7] often recommended libraries are pcre (with full support for PCRE) and re (which is not as complete but claims better performance and provides frontends to popular syntaxes: PCRE, Perl, Posix, Emacs, shell globbing).;
Perl;Perl.com;Artistic License, or GNU General Public License;Full, central part of the language;
PHP;PHP.net;PHP License;Has two implementations, with PCRE being the more efficient in speed, functions;
POSIX C (C);libc/regex from BSD;BSD;According to regex(3), available from at least 4.4BSD (if not earlier);
Python;python.org;Python Software Foundation License;Python has two major implementations, the built in re and the regex library.;
Ruby;ruby-doc.org;GNU Library General Public License;Ruby 1.8 and 1.9 use different engines; 1.9 integrates Oniguruma.;
SAP ABAP;SAP.com;Proprietary;;
Tcl;tcl.tk;Tcl/Tk License (BSD-style);Tcl library doubles as a regular expression library.;
Wolfram Language;Wolfram Research;Proprietary; usable for free on a limited scale on the Wolfram Development platform.;;
